#r0[m]	z0[m]	uref[m/s]	f[Hz]	noise[Hz^-1/2]
5.0	0.01	10.0	6.91831	2.58507e-26
5.0	0.01	10.0	7.24436	1.9809e-26
5.0	0.01	10.0	7.58578	1.51447e-26
5.0	0.01	10.0	7.94328	1.15572e-26
5.0	0.01	10.0	8.31764	8.80774e-27
5.0	0.01	10.0	8.70964	6.70518e-27
5.0	0.01	10.0	9.12011	5.09554e-27
5.0	0.01	10.0	9.54993	3.87519e-27
5.0	0.01	10.0	10.0	2.94065e-27
5.0	0.01	30.0	1.0	3.85767e-19
5.0	0.01	30.0	1.04373	3.15278e-19
5.0	0.01	30.0	1.08936	2.57088e-19
5.0	0.01	30.0	1.13699	2.0918e-19
5.0	0.01	30.0	1.18671	1.69794e-19
5.0	0.01	30.0	1.2386	1.37492e-19
5.0	0.01	30.0	1.29276	1.11058e-19
5.0	0.01	30.0	1.34928	8.94709e-20
5.0	0.01	30.0	1.40828	7.18876e-20
5.0	0.01	30.0	1.46986	5.76026e-20
5.0	0.01	30.0	1.53413	4.60254e-20
5.0	0.01	30.0	1.60121	3.66696e-20
5.0	0.01	30.0	1.67122	2.9127e-20
5.0	0.01	30.0	1.74429	2.3064e-20
5.0	0.01	30.0	1.82056	1.82071e-20
5.0	0.01	30.0	1.90017	1.43243e-20
5.0	0.01	30.0	1.98325	1.1233e-20
5.0	0.01	30.0	2.06997	8.7788e-21
5.0	0.01	30.0	2.16048	6.8357e-21
5.0	0.01	30.0	2.25495	5.30439e-21
5.0	0.01	30.0	2.35355	4.10034e-21
5.0	0.01	30.0	2.45646	3.15821e-21
5.0	0.01	30.0	2.56386	2.42268e-21
5.0	0.01	30.0	2.67597	1.85132e-21
5.0	0.01	30.0	2.79298	1.40889e-21
5.0	0.01	30.0	2.9151	1.0676e-21
5.0	0.01	30.0	3.04256	8.05488e-22
5.0	0.01	30.0	3.1756	6.05053e-22
5.0	0.01	30.0	3.31445	4.52455e-22
5.0	0.01	30.0	3.45938	3.36722e-22
5.0	0.01	30.0	3.61064	2.49348e-22
5.0	0.01	30.0	3.76852	1.83762e-22
5.0	0.01	30.0	3.9333	1.34706e-22
5.0	0.01	30.0	4.10528	9.82169e-23
5.0	0.01	30.0	4.28478	7.12157e-23
5.0	0.01	30.0	4.47214	5.13413e-23
5.0	0.01	30.0	4.66768	3.67964e-23
5.0	0.01	30.0	4.87178	2.62083e-23
5.0	0.01	30.0	5.08479	1.85506e-23
5.0	0.01	30.0	5.30713	1.30461e-23
5.0	0.01	30.0	5.53918	9.11705e-24
5.0	0.01	30.0	5.78138	6.32875e-24
5.0	0.01	30.0	6.03418	4.36625e-24
5.0	0.01	30.0	6.29802	2.99413e-24
5.0	0.01	30.0	6.5734	2.04258e-24
5.0	0.01	30.0	6.86083	1.38887e-24
5.0	0.01	30.0	7.16082	9.42936e-25
5.0	0.01	30.0	7.47392	6.41994e-25
5.0	0.01	30.0	7.80072	4.40317e-25
5.0	0.01	30.0	8.14181	3.06583e-25
5.0	0.01	30.0	8.49781	2.1808e-25
5.0	0.01	30.0	8.86938	1.59351e-25
5.0	0.01	30.0	9.2572	1.1982e-25
5.0	0.01	30.0	9.66197	9.23971e-26
5.0	0.01	30.0	10.0844	7.27857e-26
5.0	0.01	30.0	10.5254	5.80425e-26
5.0	0.01	30.0	10.9856	4.67649e-26
5.0	0.01	30.0	11.466	3.78163e-26
5.0	0.01	30.0	11.9673	3.06201e-26
5.0	0.01	30.0	12.4906	2.47887e-26
5.0	0.01	30.0	13.0367	2.00433e-26
5.0	0.01	30.0	13.6068	1.61713e-26
5.0	0.01	30.0	14.2017	1.3019e-26
5.0	0.01	30.0	14.8227	1.04506e-26
5.0	0.01	30.0	15.4708	8.36342e-27
5.0	0.01	30.0	16.1473	6.66443e-27
5.0	0.01	30.0	16.8533	5.30351e-27
5.0	0.01	30.0	17.5902	4.20295e-27
5.0	0.01	30.0	18.3594	3.31794e-27
5.0	0.01	30.0	19.1621	2.61181e-27
5.0	0.01	30.0	20.0	2.05015e-27
5.0	0.1	1.0	1.0	9.5786e-26
5.0	0.1	1.0	1.04713	7.26493e-26
5.0	0.1	1.0	1.09648	5.5101e-26
5.0	0.1	1.0	1.14815	4.17922e-26
5.0	0.1	1.0	1.20226	3.16954e-26
5.0	0.1	1.0	1.25893	2.40386e-26
5.0	0.1	1.0	1.31826	1.82297e-26
5.0	0.1	1.0	1.38038	1.38243e-26
5.0	0.1	1.0	1.44544	1.04823e-26
5.0	0.1	1.0	1.51356	7.94726e-27
5.0	0.1	1.0	1.58489	6.02431e-27
5.0	0.1	1.0	1.65959	4.56549e-27
5.0	0.1	1.0	1.7378	3.45879e-27
5.0	0.1	1.0	1.8197	2.6193e-27
5.0	0.1	1.0	1.90546	1.9825e-27
5.0	0.1	1.0	1.99526	1.49941e-27
5.0	0.1	1.0	2.0893	1.13304e-27
5.0	0.1	1.0	2.18776	8.5516e-28
5.0	0.1	1.0	2.29087	6.44467e-28
5.0	0.1	1.0	2.39883	4.84805e-28
5.0	0.1	1.0	2.51189	3.63852e-28
5.0	0.1	1.0	2.63027	2.72311e-28
5.0	0.1	1.0	2.75423	2.03101e-28
5.0	0.1	1.0	2.88403	1.50858e-28
5.0	0.1	1.0	3.01995	1.1151e-28
5.0	0.1	1.0	3.16228	8.195e-29
5.0	0.1	5.0	1.0	8.67175e-23
5.0	0.1	5.0	1.04713	5.54512e-23
5.0	0.1	5.0	1.09648	3.5464e-23
5.0	0.1	5.0	1.14815	2.27959e-23
5.0	0.1	5.0	1.20226	1.48189e-23
5.0	0.1	5.0	1.25893	9.8061e-24
5.0	0.1	5.0	1.31826	6.64095e-24
5.0	0.1	5.0	1.38038	4.61661e-24
5.0	0.1	5.0	1.44544	3.29308e-24
5.0	0.1	5.0	1.51356	2.40081e-24
5.0	0.1	5.0	1.58489	1.78059e-24
5.0	0.1	5.0	1.65959	1.33673e-24
5.0	0.1	5.0	1.7378	1.01157e-24
5.0	0.1	5.0	1.8197	7.69148e-25
5.0	0.1	5.0	1.90546	5.86163e-25
5.0	0.1	5.0	1.99526	4.46979e-25
5.0	0.1	5.0	2.0893	3.40685e-25
5.0	0.1	5.0	2.18776	2.59316e-25
5.0	0.1	5.0	2.29087	1.97075e-25
5.0	0.1	5.0	2.39883	1.49549e-25
5.0	0.1	5.0	2.51189	1.13346e-25
5.0	0.1	5.0	2.63027	8.58419e-26
5.0	0.1	5.0	2.75423	6.49924e-26
5.0	0.1	5.0	2.88403	4.92113e-26
5.0	0.1	5.0	3.01995	3.72763e-26
5.0	0.1	5.0	3.16228	2.82514e-26
5.0	0.1	5.0	3.31131	2.14193e-26
5.0	0.1	5.0	3.46737	1.62454e-26
5.0	0.1	5.0	3.63078	1.23222e-26
5.0	0.1	5.0	3.80189	9.34676e-27
5.0	0.1	5.0	3.98107	7.08954e-27
5.0	0.1	5.0	4.16869	5.37648e-27
5.0	0.1	5.0	4.36516	4.07762e-27
5.0	0.1	5.0	4.57088	3.09248e-27
5.0	0.1	5.0	4.7863	2.34528e-27
5.0	0.1	5.0	5.01187	1.77866e-27
5.0	0.1	5.0	5.24807	1.34898e-27
5.0	0.1	5.0	5.49541	1.02309e-27
5.0	0.1	5.0	5.7544	7.75899e-28
5.0	0.1	5.0	6.0256	5.88404e-28
5.0	0.1	5.0	6.30957	4.46206e-28
5.0	0.1	5.0	6.60693	3.38342e-28
5.0	0.1	5.0	6.91831	2.56518e-28
5.0	0.1	5.0	7.24436	1.94455e-28
5.0	0.1	5.0	7.58578	1.47378e-28
5.0	0.1	5.0	7.94328	1.11685e-28
5.0	0.1	5.0	8.31764	8.46004e-29
5.0	0.1	10.0	1.0	1.18301e-20
5.0	0.1	10.0	1.04713	8.69545e-21
5.0	0.1	10.0	1.09648	6.35687e-21
5.0	0.1	10.0	1.14815	4.62145e-21
5.0	0.1	10.0	1.20226	3.34017e-21
5.0	0.1	10.0	1.25893	2.39954e-21
5.0	0.1	10.0	1.31826	1.71297e-21
5.0	0.1	10.0	1.38038	1.21476e-21
5.0	0.1	10.0	1.44544	8.55546e-22
5.0	0.1	10.0	1.51356	5.98237e-22
5.0	0.1	10.0	1.58489	4.15212e-22
5.0	0.1	10.0	1.65959	2.85964e-22
5.0	0.1	10.0	1.7378	1.95329e-22
5.0	0.1	10.0	1.8197	1.32297e-22
5.0	0.1	10.0	1.90546	8.88252e-23
5.0	0.1	10.0	1.99526	5.90903e-23
5.0	0.1	10.0	2.0893	3.89421e-23
5.0	0.1	10.0	2.18776	2.5415e-23
5.0	0.1	10.0	2.29087	1.64189e-23
5.0	0.1	10.0	2.39883	1.05027e-23
5.0	0.1	10.0	2.51189	6.65173e-24
5.0	0.1	10.0	2.63027	4.17283e-24
5.0	0.1	10.0	2.75423	2.59656e-24
5.0	0.1	10.0	2.88403	1.60616e-24
5.0	0.1	10.0	3.01995	9.92232e-25
5.0	0.1	10.0	3.16228	6.16107e-25
5.0	0.1	10.0	3.31131	3.88541e-25
5.0	0.1	10.0	3.46737	2.51767e-25
5.0	0.1	10.0	3.63078	1.69166e-25
5.0	0.1	10.0	3.80189	1.18174e-25
5.0	0.1	10.0	3.98107	8.53066e-26
5.0	0.1	10.0	4.16869	6.30159e-26
5.0	0.1	10.0	4.36516	4.71884e-26
5.0	0.1	10.0	4.57088	3.55745e-26
5.0	0.1	10.0	4.7863	2.68936e-26
5.0	0.1	10.0	5.01187	2.03486e-26
5.0	0.1	10.0	5.24807	1.54013e-26
5.0	0.1	10.0	5.49541	1.16566e-26
5.0	0.1	10.0	5.7544	8.82553e-27
5.0	0.1	10.0	6.0256	6.68476e-27
5.0	0.1	10.0	6.30957	5.06592e-27
5.0	0.1	10.0	6.60693	3.84085e-27
5.0	0.1	10.0	6.91831	2.91298e-27
5.0	0.1	10.0	7.24436	2.20937e-27
5.0	0.1	10.0	7.58578	1.67597e-27
5.0	0.1	10.0	7.94328	1.27117e-27
5.0	0.1	10.0	8.31764	9.64106e-28
5.0	0.1	10.0	8.70964	7.30949e-28
5.0	0.1	10.0	9.12011	5.54409e-28
5.0	0.1	10.0	9.54993	4.20531e-28
5.0	0.1	10.0	10.0	3.18936e-28
5.0	0.1	20.0	1.0	1.67342e-19
5.0	0.1	20.0	1.04713	1.31923e-19
5.0	0.1	20.0	1.09648	1.03712e-19
5.0	0.1	20.0	1.14815	8.13005e-20
5.0	0.1	20.0	1.20226	6.35457e-20
5.0	0.1	20.0	1.25893	4.95185e-20
5.0	0.1	20.0	1.31826	3.84709e-20
5.0	0.1	20.0	1.38038	2.97914e-20
5.0	0.1	20.0	1.44544	2.29955e-20
5.0	0.1	20.0	1.51356	1.76901e-20
5.0	0.1	20.0	1.58489	1.35624e-20
5.0	0.1	20.0	1.65959	1.03601e-20
5.0	0.1	20.0	1.7378	7.88551e-21
5.0	0.1	20.0	1.8197	5.97836e-21
5.0	0.1	20.0	1.90546	4.51501e-21
5.0	0.1	20.0	1.99526	3.39566e-21
5.0	0.1	20.0	2.0893	2.5428e-21
5.0	0.1	20.0	2.18776	1.89573e-21
5.0	0.1	20.0	2.29087	1.40692e-21
5.0	0.1	20.0	2.39883	1.03901e-21
5.0	0.1	20.0	2.51189	7.63541e-22
5.0	0.1	20.0	2.63027	5.58092e-22
5.0	0.1	20.0	2.75423	4.05722e-22
5.0	0.1	20.0	2.88403	2.9333e-22
5.0	0.1	20.0	3.01995	2.10773e-22
5.0	0.1	20.0	3.16228	1.5052e-22
5.0	0.1	20.0	3.31131	1.06787e-22
5.0	0.1	20.0	3.46737	7.52574e-23
5.0	0.1	20.0	3.63078	5.26668e-23
5.0	0.1	20.0	3.80189	3.65819e-23
5.0	0.1	20.0	3.98107	2.52107e-23
5.0	0.1	20.0	4.16869	1.72396e-23
5.0	0.1	20.0	4.36516	1.16878e-23
5.0	0.1	20.0	4.57088	7.85563e-24
5.0	0.1	20.0	4.7863	5.23093e-24
5.0	0.1	20.0	5.01187	3.45113e-24
5.0	0.1	20.0	5.24807	2.25411e-24
5.0	0.1	20.0	5.49541	1.45705e-24
5.0	0.1	20.0	5.7544	9.32158e-25
5.0	0.1	20.0	6.0256	5.89938e-25
5.0	0.1	20.0	6.30957	3.6929e-25
5.0	0.1	20.0	6.60693	2.28757e-25
5.0	0.1	20.0	6.91831	1.40403e-25
5.0	0.1	20.0	7.24436	8.55714e-26
5.0	0.1	20.0	7.58578	5.19452e-26
5.0	0.1	20.0	7.94328	3.16202e-26
5.0	0.1	20.0	8.31764	1.9505e-26
5.0	0.1	20.0	8.70964	1.23358e-26
5.0	0.1	20.0	9.12011	8.08332e-27
5.0	0.1	20.0	9.54993	5.53286e-27
5.0	0.1	20.0	10.0	3.92607e-27
5.0	0.1	30.0	1.0	4.82326e-19
5.0	0.1	30.0	1.04373	3.953e-19
5.0	0.1	30.0	1.08936	3.2333e-19
5.0	0.1	30.0	1.13699	2.64016e-19
5.0	0.1	30.0	1.18671	2.15154e-19
5.0	0.1	30.0	1.2386	1.75e-19
5.0	0.1	30.0	1.29276	1.42068e-19
5.0	0.1	30.0	1.34928	1.1509e-19
5.0	0.1	30.0	1.40828	9.30411e-20
5.0	0.1	30.0	1.46986	7.5067e-20
5.0	0.1	30.0	1.53413	6.04321e-20
5.0	0.1	30.0	1.60121	4.8543e-20
5.0	0.1	30.0	1.67122	3.89057e-20
5.0	0.1	30.0	1.74429	3.11116e-20
5.0	0.1	30.0	1.82056	2.48224e-20
5.0	0.1	30.0	1.90017	1.97548e-20
5.0	0.1	30.0	1.98325	1.56837e-20
5.0	0.1	30.0	2.06997	1.2422e-20
5.0	0.1	30.0	2.16048	9.81215e-21
5.0	0.1	30.0	2.25495	7.73062e-21
5.0	0.1	30.0	2.35355	6.0741e-21
5.0	0.1	30.0	2.45646	4.75958e-21
5.0	0.1	30.0	2.56386	3.71828e-21
5.0	0.1	30.0	2.67597	2.89644e-21
5.0	0.1	30.0	2.79298	2.2495e-21
5.0	0.1	30.0	2.9151	1.74113e-21
5.0	0.1	30.0	3.04256	1.3434e-21
5.0	0.1	30.0	3.1756	1.03299e-21
5.0	0.1	30.0	3.31445	7.91541e-22
5.0	0.1	30.0	3.45938	6.04248e-22
5.0	0.1	30.0	3.61064	4.59533e-22
5.0	0.1	30.0	3.76852	3.48109e-22
5.0	0.1	30.0	3.9333	2.62583e-22
5.0	0.1	30.0	4.10528	1.97258e-22
5.0	0.1	30.0	4.28478	1.47512e-22
5.0	0.1	30.0	4.47214	1.09807e-22
5.0	0.1	30.0	4.66768	8.13316e-23
5.0	0.1	30.0	4.87178	5.99501e-23
5.0	0.1	30.0	5.08479	4.39583e-23
5.0	0.1	30.0	5.30713	3.20563e-23
5.0	0.1	30.0	5.53918	2.32466e-23
5.0	0.1	30.0	5.78138	1.67511e-23
5.0	0.1	30.0	6.03418	1.20036e-23
5.0	0.1	30.0	6.29802	8.54355e-24
5.0	0.1	30.0	6.5734	6.04143e-24
5.0	0.1	30.0	6.86083	4.24516e-24
5.0	0.1	30.0	7.16082	2.96021e-24
5.0	0.1	30.0	7.47392	2.04832e-24
5.0	0.1	30.0	7.80072	1.40531e-24
5.0	0.1	30.0	8.14181	9.58137e-25
5.0	0.1	30.0	8.49781	6.47006e-25
5.0	0.1	30.0	8.86938	4.33256e-25
5.0	0.1	30.0	9.2572	2.87447e-25
5.0	0.1	30.0	9.66197	1.88929e-25
5.0	0.1	30.0	10.0844	1.23027e-25
5.0	0.1	30.0	10.5254	7.91879e-26
5.0	0.1	30.0	10.9856	5.07209e-26
5.0	0.1	30.0	11.466	3.21238e-26
5.0	0.1	30.0	11.9673	2.01788e-26
5.0	0.1	30.0	12.4906	1.26284e-26
5.0	0.1	30.0	13.0367	7.88518e-27
5.0	0.1	30.0	13.6068	4.94817e-27
5.0	0.1	30.0	14.2017	3.1491e-27
5.0	0.1	30.0	14.8227	2.05582e-27
5.0	0.1	30.0	15.4708	1.38824e-27
5.0	0.1	30.0	16.1473	9.71678e-28
5.0	0.1	30.0	16.8533	7.03492e-28
5.0	0.1	30.0	17.5902	5.25368e-28
5.0	0.1	30.0	18.3594	3.97962e-28
5.0	0.1	30.0	19.1621	3.04471e-28
5.0	0.1	30.0	20.0	2.34343e-28
5.0	1.0	5.0	1.0	1.04459e-21
5.0	1.0	5.0	1.04713	7.22327e-22
5.0	1.0	5.0	1.09648	4.95442e-22
5.0	1.0	5.0	1.14815	3.36915e-22
5.0	1.0	5.0	1.20226	2.27084e-22
5.0	1.0	5.0	1.25893	1.51633e-22
5.0	1.0	5.0	1.31826	1.00277e-22
5.0	1.0	5.0	1.38038	6.56365e-23
5.0	1.0	5.0	1.44544	4.25104e-23
5.0	1.0	5.0	1.51356	2.72272e-23
5.0	1.0	5.0	1.58489	1.72381e-23
5.0	1.0	5.0	1.65959	1.07829e-23
5.0	1.0	5.0	1.7378	6.66024e-24
5.0	1.0	5.0	1.8197	4.06044e-24
5.0	1.0	5.0	1.90546	2.4421e-24
5.0	1.0	5.0	1.99526	1.44871e-24
5.0	1.0	5.0	2.0893	8.47534e-25
5.0	1.0	5.0	2.18776	4.89217e-25
5.0	1.0	5.0	2.29087	2.79087e-25
5.0	1.0	5.0	2.39883	1.57912e-25
5.0	1.0	5.0	2.51189	8.93269e-26
5.0	1.0	5.0	2.63027	5.12453e-26
5.0	1.0	5.0	2.75423	3.04464e-26
5.0	1.0	5.0	2.88403	1.91551e-26
5.0	1.0	5.0	3.01995	1.28631e-26
5.0	1.0	5.0	3.16228	9.12494e-27
5.0	1.0	5.0	3.31131	6.69791e-27
5.0	1.0	5.0	3.46737	5.00633e-27
5.0	1.0	5.0	3.63078	3.77267e-27
5.0	1.0	5.0	3.80189	2.8531e-27
5.0	1.0	5.0	3.98107	2.16068e-27
5.0	1.0	5.0	4.16869	1.6372e-27
5.0	1.0	5.0	4.36516	1.24083e-27
5.0	1.0	5.0	4.57088	9.40533e-28
5.0	1.0	5.0	4.7863	7.12969e-28
5.0	1.0	5.0	5.01187	5.40471e-28
5.0	1.0	5.0	5.24807	4.09728e-28
5.0	1.0	5.0	5.49541	3.10614e-28
5.0	1.0	5.0	5.7544	2.35475e-28
5.0	1.0	5.0	6.0256	1.78502e-28
5.0	1.0	5.0	6.30957	1.35312e-28
