uref[m/s]	f[Hz]	Noise[Hz^-1/2]
13.62068966	5.4117	4.91614e-26
13.62068966	5.84341	2.65183e-26
13.62068966	6.30957	1.56074e-26
13.62068966	6.81292	9.5948e-27
13.62068966	7.35642	5.99136e-27
13.62068966	7.94328	3.76211e-27
13.62068966	8.57696	2.36813e-27
13.62068966	9.26119	1.49301e-27
13.62068966	10.0	9.41876e-28
14.48275862	1.0	5.78028e-20
14.48275862	1.07978	3.71556e-20
14.48275862	1.16591	2.3638e-20
14.48275862	1.25893	1.48749e-20
14.48275862	1.35936	9.25298e-21
14.48275862	1.4678	5.68561e-21
14.48275862	1.58489	3.44837e-21
14.48275862	1.71133	2.06229e-21
14.48275862	1.84785	1.21501e-21
14.48275862	1.99526	7.04415e-22
14.48275862	2.15443	4.01463e-22
14.48275862	2.32631	2.24617e-22
14.48275862	2.51189	1.23194e-22
14.48275862	2.71227	6.61389e-23
14.48275862	2.92864	3.47034e-23
14.48275862	3.16228	1.77675e-23
14.48275862	3.41455	8.86069e-24
14.48275862	3.68695	4.29797e-24
14.48275862	3.98107	2.02501e-24
14.48275862	4.29866	9.27073e-25
14.48275862	4.64159	4.13894e-25
14.48275862	5.01187	1.82347e-25
14.48275862	5.4117	8.17293e-26
14.48275862	5.84341	3.92314e-26
14.48275862	6.30957	2.09493e-26
14.48275862	6.81292	1.22489e-26
14.48275862	7.35642	7.50668e-27
14.48275862	7.94328	4.68464e-27
14.48275862	8.57696	2.93975e-27
14.48275862	9.26119	1.85187e-27
14.48275862	10.0	1.16769e-27
15.34482759	1.0	7.12095e-20
15.34482759	1.07978	4.61872e-20
15.34482759	1.16591	2.96653e-20
15.34482759	1.25893	1.88573e-20
15.34482759	1.35936	1.18571e-20
15.34482759	1.4678	7.37006e-21
15.34482759	1.58489	4.52546e-21
15.34482759	1.71133	2.74234e-21
15.34482759	1.84785	1.63889e-21
15.34482759	1.99526	9.64705e-22
15.34482759	2.15443	5.58902e-22
15.34482759	2.32631	3.18237e-22
15.34482759	2.51189	1.7788e-22
15.34482759	2.71227	9.74573e-23
15.34482759	2.92864	5.22711e-23
15.34482759	3.16228	2.73955e-23
15.34482759	3.41455	1.401e-23
15.34482759	3.68695	6.97852e-24
15.34482759	3.98107	3.37998e-24
15.34482759	4.29866	1.5902e-24
15.34482759	4.64159	7.26783e-25
15.34482759	5.01187	3.23776e-25
15.34482759	5.4117	1.4235e-25
15.34482759	5.84341	6.36489e-26
15.34482759	6.30957	3.04566e-26
15.34482759	6.81292	1.62177e-26
15.34482759	7.35642	9.46363e-27
15.34482759	7.94328	5.7964e-27
15.34482759	8.57696	3.61572e-27
15.34482759	9.26119	2.27079e-27
15.34482759	10.0	1.43023e-27
16.20689655	1.0	8.60504e-20
16.20689655	1.07978	5.62612e-20
16.20689655	1.16591	3.64421e-20
16.20689655	1.25893	2.33747e-20
16.20689655	1.35936	1.48387e-20
16.20689655	1.4678	9.31789e-21
16.20689655	1.58489	5.7838e-21
16.20689655	1.71133	3.54606e-21
16.20689655	1.84785	2.14571e-21
16.20689655	1.99526	1.28015e-21
16.20689655	2.15443	7.52367e-22
16.20689655	2.32631	4.35114e-22
16.20689655	2.51189	2.47274e-22
16.20689655	2.71227	1.37936e-22
16.20689655	2.92864	7.54185e-23
16.20689655	3.16228	4.03557e-23
16.20689655	3.41455	2.11005e-23
16.20689655	3.68695	1.07627e-23
16.20689655	3.98107	5.34572e-24
16.20689655	4.29866	2.5818e-24
16.20689655	4.64159	1.21093e-24
16.20689655	5.01187	5.51602e-25
16.20689655	5.4117	2.45003e-25
16.20689655	5.84341	1.07514e-25
16.20689655	6.30957	4.80715e-26
16.20689655	6.81292	2.30623e-26
16.20689655	7.35642	1.23263e-26
16.20689655	7.94328	7.21168e-27
16.20689655	8.57696	4.42048e-27
16.20689655	9.26119	2.75953e-27
16.20689655	10.0	1.73382e-27
17.06896552	1.0	1.02287e-19
17.06896552	1.07978	6.7358e-20
17.06896552	1.16591	4.39616e-20
17.06896552	1.25893	2.84256e-20
17.06896552	1.35936	1.82007e-20
17.06896552	1.4678	1.1532e-20
17.06896552	1.58489	7.22862e-21
17.06896552	1.71133	4.47752e-21
17.06896552	1.84785	2.73979e-21
17.06896552	1.99526	1.65412e-21
17.06896552	2.15443	9.84596e-22
17.06896552	2.32631	5.77302e-22
17.06896552	2.51189	3.32988e-22
17.06896552	2.71227	1.88715e-22
17.06896552	2.92864	1.04963e-22
17.06896552	3.16228	5.72002e-23
17.06896552	3.41455	3.05048e-23
17.06896552	3.68695	1.58925e-23
17.06896552	3.98107	8.07431e-24
17.06896552	4.29866	3.99404e-24
17.06896552	4.64159	1.92034e-24
17.06896552	5.01187	8.96535e-25
17.06896552	5.4117	4.06545e-25
17.06896552	5.84341	1.79937e-25
17.06896552	6.30957	7.88015e-26
17.06896552	6.81292	3.53219e-26
17.06896552	7.35642	1.70919e-26
17.06896552	7.94328	9.22368e-27
17.06896552	8.57696	5.42798e-27
17.06896552	9.26119	3.33624e-27
17.06896552	10.0	2.08466e-27
17.93103448	1.0	1.19878e-19
17.93103448	1.07978	7.94592e-20
17.93103448	1.16591	5.22156e-20
17.93103448	1.25893	3.40078e-20
17.93103448	1.35936	2.19405e-20
17.93103448	1.4678	1.40172e-20
17.93103448	1.58489	8.86191e-21
17.93103448	1.71133	5.54057e-21
17.93103448	1.84785	3.42388e-21
17.93103448	1.99526	2.08929e-21
17.93103448	2.15443	1.25792e-21
17.93103448	2.32631	7.46595e-22
17.93103448	2.51189	4.36325e-22
17.93103448	2.71227	2.5081e-22
17.93103448	2.92864	1.41639e-22
17.93103448	3.16228	7.84709e-23
17.93103448	3.41455	4.2591e-23
17.93103448	3.68695	2.2612e-23
17.93103448	3.98107	1.17238e-23
17.93103448	4.29866	5.92649e-24
17.93103448	4.64159	2.9161e-24
17.93103448	5.01187	1.39397e-24
17.93103448	5.4117	6.46918e-25
17.93103448	5.84341	2.91754e-25
17.93103448	6.30957	1.28531e-25
17.93103448	6.81292	5.62191e-26
17.93103448	7.35642	2.53628e-26
17.93103448	7.94328	1.24432e-26
17.93103448	8.57696	6.81193e-27
17.93103448	9.26119	4.04354e-27
17.93103448	10.0	2.49407e-27
18.79310345	1.0	1.38774e-19
18.79310345	1.07978	9.25286e-20
18.79310345	1.16591	6.11853e-20
18.79310345	1.25893	4.01115e-20
18.79310345	1.35936	2.60597e-20
18.79310345	1.4678	1.67716e-20
18.79310345	1.58489	1.06866e-20
18.79310345	1.71133	6.73737e-21
18.79310345	1.84785	4.20052e-21
18.79310345	1.99526	2.58796e-21
18.79310345	2.15443	1.57414e-21
18.79310345	2.32631	9.44585e-22
18.79310345	2.51189	5.58559e-22
18.79310345	2.71227	3.25154e-22
18.79310345	2.92864	1.86165e-22
18.79310345	3.16228	1.04662e-22
18.79310345	3.41455	5.7711e-23
18.79310345	3.68695	3.11663e-23
18.79310345	3.98107	1.64579e-23
18.79310345	4.29866	8.48407e-24
18.79310345	4.64159	4.26211e-24
18.79310345	5.01187	2.08287e-24
18.79310345	5.4117	9.88906e-25
18.79310345	5.84341	4.55832e-25
18.79310345	6.30957	2.04182e-25
18.79310345	6.81292	8.95073e-26
18.79310345	7.35642	3.91893e-26
18.79310345	7.94328	1.78632e-26
18.79310345	8.57696	8.934e-27
18.79310345	9.26119	4.98121e-27
18.79310345	10.0	2.98586e-27
19.65517241	1.0	1.5894e-19
19.65517241	1.07978	1.06545e-19
19.65517241	1.16591	7.08585e-20
19.65517241	1.25893	4.67303e-20
19.65517241	1.35936	3.05525e-20
19.65517241	1.4678	1.97945e-20
19.65517241	1.58489	1.27028e-20
19.65517241	1.71133	8.06953e-21
19.65517241	1.84785	5.07159e-21
19.65517241	1.99526	3.15149e-21
19.65517241	2.15443	1.93469e-21
19.65517241	2.32631	1.17254e-21
19.65517241	2.51189	7.00774e-22
19.65517241	2.71227	4.12687e-22
19.65517241	2.92864	2.39165e-22
19.65517241	3.16228	1.36272e-22
19.65517241	3.41455	7.62183e-23
19.65517241	3.68695	4.17938e-23
19.65517241	3.98107	2.2436e-23
19.65517241	4.29866	1.17728e-23
19.65517241	4.64159	6.02814e-24
19.65517241	5.01187	3.00595e-24
19.65517241	5.4117	1.45779e-24
19.65517241	5.84341	6.86617e-25
19.65517241	6.30957	3.13896e-25
19.65517241	6.81292	1.39563e-25
19.65517241	7.35642	6.09422e-26
19.65517241	7.94328	2.67628e-26
19.65517241	8.57696	1.23875e-26
19.65517241	9.26119	6.35413e-27
19.65517241	10.0	3.61433e-27
20.51724138	1.0	1.80302e-19
20.51724138	1.07978	1.21474e-19
20.51724138	1.16591	8.12094e-20
20.51724138	1.25893	5.38543e-20
20.51724138	1.35936	3.54122e-20
20.51724138	1.4678	2.30832e-20
20.51724138	1.58489	1.49091e-20
20.51724138	1.71133	9.53695e-21
20.51724138	1.84785	6.03821e-21
20.51724138	1.99526	3.78163e-21
20.51724138	2.15443	2.34116e-21
20.51724138	2.32631	1.43169e-21
20.51724138	2.51189	8.63976e-22
20.51724138	2.71227	5.14035e-22
20.51724138	2.92864	3.01273e-22
20.51724138	3.16228	1.73713e-22
20.51724138	3.41455	9.84282e-23
20.51724138	3.68695	5.47262e-23
20.51724138	3.98107	2.98194e-23
20.51724138	4.29866	1.59012e-23
20.51724138	4.64159	8.28386e-24
20.51724138	5.01187	4.2079e-24
20.51724138	5.4117	2.08104e-24
20.51724138	5.84341	1.00061e-24
20.51724138	6.30957	4.66944e-25
20.51724138	6.81292	2.1152e-25
20.51724138	7.35642	9.3365e-26
20.51724138	7.94328	4.06355e-26
20.51724138	8.57696	1.79696e-26
20.51724138	9.26119	8.50711e-27
20.51724138	10.0	4.49081e-27
21.37931034	1.0	2.02843e-19
21.37931034	1.07978	1.37291e-19
21.37931034	1.16591	9.22218e-20
21.37931034	1.25893	6.14643e-20
21.37931034	1.35936	4.06344e-20
21.37931034	1.4678	2.66369e-20
21.37931034	1.58489	1.73074e-20
21.37931034	1.71133	1.11402e-20
21.37931034	1.84785	7.10102e-21
21.37931034	1.99526	4.47906e-21
21.37931034	2.15443	2.79418e-21
21.37931034	2.32631	1.72273e-21
21.37931034	2.51189	1.04879e-21
21.37931034	2.71227	6.29946e-22
21.37931034	2.92864	3.72943e-22
21.37931034	3.16228	2.174e-22
21.37931034	3.41455	1.24633e-22
21.37931034	3.68695	7.01811e-23
21.37931034	3.98107	3.87646e-23
21.37931034	4.29866	2.09761e-23
21.37931034	4.64159	1.10996e-23
21.37931034	5.01187	5.73409e-24
21.37931034	5.4117	2.88775e-24
21.37931034	5.84341	1.41522e-24
21.37931034	6.30957	6.73695e-25
21.37931034	6.81292	3.11121e-25
21.37931034	7.35642	1.39655e-25
21.37931034	7.94328	6.11839e-26
21.37931034	8.57696	2.66094e-26
21.37931034	9.26119	1.19219e-26
21.37931034	10.0	5.80898e-27
22.24137931	1.0	2.26491e-19
22.24137931	1.07978	1.53953e-19
22.24137931	1.16591	1.03875e-19
22.24137931	1.25893	6.95594e-20
22.24137931	1.35936	4.62097e-20
22.24137931	1.4678	3.04499e-20
22.24137931	1.58489	1.98929e-20
22.24137931	1.71133	1.28795e-20
22.24137931	1.84785	8.26023e-21
22.24137931	1.99526	5.24433e-21
22.24137931	2.15443	3.29475e-21
22.24137931	2.32631	2.04648e-21
22.24137931	2.51189	1.25604e-21
22.24137931	2.71227	7.60928e-22
22.24137931	2.92864	4.54706e-22
22.24137931	3.16228	2.67706e-22
22.24137931	3.41455	1.55125e-22
22.24137931	3.68695	8.8364e-23
22.24137931	3.98107	4.94167e-23
22.24137931	4.29866	2.70989e-23
22.24137931	4.64159	1.45458e-23
22.24137931	5.01187	7.63266e-24
22.24137931	5.4117	3.90705e-24
22.24137931	5.84341	1.94921e-24
22.24137931	6.30957	9.4538e-25
22.24137931	6.81292	4.45199e-25
22.24137931	7.35642	2.03457e-25
22.24137931	7.94328	9.03909e-26
22.24137931	8.57696	3.93538e-26
22.24137931	9.26119	1.71651e-26
22.24137931	10.0	7.84832e-27
23.10344828	1.0	2.51224e-19
23.10344828	1.07978	1.71431e-19
23.10344828	1.16591	1.16145e-19
23.10344828	1.25893	7.81154e-20
23.10344828	1.35936	5.21325e-20
23.10344828	1.4678	3.45179e-20
23.10344828	1.58489	2.26637e-20
23.10344828	1.71133	1.47523e-20
23.10344828	1.84785	9.51496e-21
23.10344828	1.99526	6.07808e-21
23.10344828	2.15443	3.84305e-21
23.10344828	2.32631	2.40364e-21
23.10344828	2.51189	1.48603e-21
23.10344828	2.71227	9.07514e-22
23.10344828	2.92864	5.46906e-22
23.10344828	3.16228	3.24928e-22
23.10344828	3.41455	1.90154e-22
23.10344828	3.68695	1.09454e-22
23.10344828	3.98107	6.19149e-23
23.10344828	4.29866	3.43675e-23
23.10344828	4.64159	1.86929e-23
23.10344828	5.01187	9.94912e-24
23.10344828	5.4117	5.17079e-24
23.10344828	5.84341	2.62209e-24
23.10344828	6.30957	1.29406e-24
23.10344828	6.81292	6.20525e-25
23.10344828	7.35642	2.88822e-25
23.10344828	7.94328	1.30517e-25
23.10344828	8.57696	5.74147e-26
23.10344828	9.26119	2.48917e-26
23.10344828	10.0	1.09599e-26
23.96551724	1.0	2.76971e-19
23.96551724	1.07978	1.89694e-19
23.96551724	1.16591	1.2902e-19
23.96551724	1.25893	8.7125e-20
23.96551724	1.35936	5.83946e-20
23.96551724	1.4678	3.88365e-20
23.96551724	1.58489	2.56206e-20
23.96551724	1.71133	1.67596e-20
23.96551724	1.84785	1.08663e-20
23.96551724	1.99526	6.98009e-21
23.96551724	2.15443	4.43955e-21
23.96551724	2.32631	2.7946e-21
23.96551724	2.51189	1.73954e-21
23.96551724	2.71227	1.07004e-21
23.96551724	2.92864	6.49903e-22
23.96551724	3.16228	3.8939e-22
23.96551724	3.41455	2.29915e-22
23.96551724	3.68695	1.33648e-22
23.96551724	3.98107	7.63962e-23
23.96551724	4.29866	4.28853e-23
23.96551724	4.64159	2.36083e-23
23.96551724	5.01187	1.27317e-23
23.96551724	5.4117	6.71026e-24
23.96551724	5.84341	3.45425e-24
23.96551724	6.30957	1.73213e-24
23.96551724	6.81292	8.44984e-25
23.96551724	7.35642	4.00374e-25
23.96551724	7.94328	1.8407e-25
23.96551724	8.57696	8.21807e-26
23.96551724	9.26119	3.58411e-26
23.96551724	10.0	1.5537e-26
24.82758621	1.0	3.03691e-19
24.82758621	1.07978	2.08718e-19
24.82758621	1.16591	1.42468e-19
24.82758621	1.25893	9.65767e-20
24.82758621	1.35936	6.49853e-20
24.82758621	1.4678	4.33993e-20
24.82758621	1.58489	2.87574e-20
24.82758621	1.71133	1.88974e-20
24.82758621	1.84785	1.23127e-20
24.82758621	1.99526	7.95029e-21
24.82758621	2.15443	5.08499e-21
24.82758621	2.32631	3.21944e-21
24.82758621	2.51189	2.01661e-21
24.82758621	2.71227	1.24879e-21
24.82758621	2.92864	7.63965e-22
24.82758621	3.16228	4.61325e-22
24.82758621	3.41455	2.74651e-22
24.82758621	3.68695	1.61087e-22
24.82758621	3.98107	9.29797e-23
24.82758621	4.29866	5.27382e-23
24.82758621	4.64159	2.93616e-23
24.82758621	5.01187	1.60221e-23
24.82758621	5.4117	8.55045e-24
24.82758621	5.84341	4.46522e-24
24.82758621	6.30957	2.27313e-24
24.82758621	6.81292	1.12637e-24
24.82758621	7.35642	5.42764e-25
24.82758621	7.94328	2.53878e-25
24.82758621	8.57696	1.15193e-25
24.82758621	9.26119	5.08447e-26
24.82758621	10.0	2.20272e-26
25.68965517	1.0	3.31363e-19
25.68965517	1.07978	2.28458e-19
25.68965517	1.16591	1.5648e-19
25.68965517	1.25893	1.06448e-19
25.68965517	1.35936	7.18911e-20
25.68965517	1.4678	4.82027e-20
25.68965517	1.58489	3.20708e-20
25.68965517	1.71133	2.11662e-20
25.68965517	1.84785	1.38541e-20
25.68965517	1.99526	8.98852e-21
25.68965517	2.15443	5.77837e-21
25.68965517	2.32631	3.67834e-21
25.68965517	2.51189	2.31768e-21
25.68965517	2.71227	1.44416e-21
25.68965517	2.92864	8.89404e-22
25.68965517	3.16228	5.40896e-22
25.68965517	3.41455	3.24545e-22
25.68965517	3.68695	1.91946e-22
25.68965517	3.98107	1.11771e-22
25.68965517	4.29866	6.40104e-23
25.68965517	4.64159	3.60082e-23
25.68965517	5.01187	1.9868e-23
25.68965517	5.4117	1.07343e-23
25.68965517	5.84341	5.67656e-24
25.68965517	6.30957	2.92987e-24
25.68965517	6.81292	1.47385e-24
25.68965517	7.35642	7.21277e-25
25.68965517	7.94328	3.42902e-25
25.68965517	8.57696	1.58189e-25
25.68965517	9.26119	7.0843e-26
25.68965517	10.0	3.0932e-26
26.55172414	1.0	3.59915e-19
26.55172414	1.07978	2.48912e-19
26.55172414	1.16591	1.71026e-19
26.55172414	1.25893	1.16729e-19
26.55172414	1.35936	7.91139e-20
26.55172414	1.4678	5.32372e-20
26.55172414	1.58489	3.55568e-20
26.55172414	1.71133	2.3563e-20
26.55172414	1.84785	1.54892e-20
26.55172414	1.99526	1.00948e-20
26.55172414	2.15443	6.52031e-21
26.55172414	2.32631	4.17174e-21
26.55172414	2.51189	2.64288e-21
26.55172414	2.71227	1.65642e-21
26.55172414	2.92864	1.02648e-21
26.55172414	3.16228	6.2842e-22
26.55172414	3.41455	3.79754e-22
26.55172414	3.68695	2.2632e-22
26.55172414	3.98107	1.32891e-22
26.55172414	4.29866	7.67788e-23
26.55172414	4.64159	4.36083e-23
26.55172414	5.01187	2.43124e-23
26.55172414	5.4117	1.32796e-23
26.55172414	5.84341	7.10871e-24
26.55172414	6.30957	3.7162e-24
26.55172414	6.81292	1.89485e-24
26.55172414	7.35642	9.41049e-25
26.55172414	7.94328	4.54564e-25
26.55172414	8.57696	2.13088e-25
26.55172414	9.26119	9.68978e-26
26.55172414	10.0	4.2825e-26
27.4137931	1.0	3.89314e-19
27.4137931	1.07978	2.70014e-19
27.4137931	1.16591	1.86082e-19
27.4137931	1.25893	1.27409e-19
27.4137931	1.35936	8.66317e-20
27.4137931	1.4678	5.85007e-20
27.4137931	1.58489	3.92144e-20
27.4137931	1.71133	2.60842e-20
27.4137931	1.84785	1.72147e-20
27.4137931	1.99526	1.12676e-20
27.4137931	2.15443	7.31014e-21
27.4137931	2.32631	4.69954e-21
27.4137931	2.51189	2.99231e-21
27.4137931	2.71227	1.8855e-21
27.4137931	2.92864	1.17526e-21
27.4137931	3.16228	7.23978e-22
27.4137931	3.41455	4.40403e-22
27.4137931	3.68695	2.64361e-22
27.4137931	3.98107	1.56415e-22
27.4137931	4.29866	9.11245e-23
27.4137931	4.64159	5.22187e-23
27.4137931	5.01187	2.93926e-23
27.4137931	5.4117	1.62236e-23
27.4137931	5.84341	8.78011e-24
27.4137931	6.30957	4.64495e-24
27.4137931	6.81292	2.39939e-24
27.4137931	7.35642	1.20644e-24
27.4137931	7.94328	5.92109e-25
27.4137931	8.57696	2.81856e-25
27.4137931	9.26119	1.30165e-25
27.4137931	10.0	5.83333e-26
28.27586207	1.0	4.19548e-19
28.27586207	1.07978	2.91772e-19
28.27586207	1.16591	2.0164e-19
28.27586207	1.25893	1.38472e-19
28.27586207	1.35936	9.44536e-20
28.27586207	1.4678	6.39887e-20
28.27586207	1.58489	4.30381e-20
28.27586207	1.71133	2.87296e-20
28.27586207	1.84785	1.90323e-20
28.27586207	1.99526	1.25063e-20
28.27586207	2.15443	8.14822e-21
28.27586207	2.32631	5.26143e-21
28.27586207	2.51189	3.36561e-21
28.27586207	2.71227	2.13171e-21
28.27586207	2.92864	1.33593e-21
28.27586207	3.16228	8.27753e-22
28.27586207	3.41455	5.06674e-22
28.27586207	3.68695	3.06149e-22
28.27586207	3.98107	1.8245e-22
28.27586207	4.29866	1.0712e-22
28.27586207	4.64159	6.18922e-23
28.27586207	5.01187	3.51525e-23
28.27586207	5.4117	1.95912e-23
28.27586207	5.84341	1.07129e-23
28.27586207	6.30957	5.73108e-24
28.27586207	6.81292	2.99581e-24
28.27586207	7.35642	1.52629e-24
28.27586207	7.94328	7.5927e-25
28.27586207	8.57696	3.66676e-25
28.27586207	9.26119	1.71911e-25
28.27586207	10.0	7.81479e-26
29.13793103	1.0	4.5057e-19
29.13793103	1.07978	3.14138e-19
29.13793103	1.16591	2.17686e-19
