uref[m/s]	f[Hz]	Noise[Hz^-1/2]
30.0	6.30957	8.42302e-24
30.0	6.81292	4.49951e-24
30.0	7.35642	2.34786e-24
30.0	7.94328	1.1968e-24
30.0	8.57696	5.93686e-25
30.0	9.26119	2.86276e-25
30.0	10.0	1.33954e-25
5.0	1.0	8.67175e-23
5.0	1.07978	4.11497e-23
5.0	1.16591	1.97168e-23
5.0	1.25893	9.80462e-24
5.0	1.35936	5.19655e-24
5.0	1.4678	2.95735e-24
5.0	1.58489	1.78071e-24
5.0	1.71133	1.10933e-24
5.0	1.84785	7.02448e-25
5.0	1.99526	4.46988e-25
5.0	2.15443	2.84058e-25
5.0	2.32631	1.79782e-25
5.0	2.51189	1.13347e-25
5.0	2.71227	7.13089e-26
5.0	2.92864	4.48561e-26
5.0	3.16228	2.82509e-26
5.0	3.41455	1.78138e-26
5.0	3.68695	1.1238e-26
5.0	3.98107	7.08935e-27
5.0	4.29866	4.47148e-27
5.0	4.64159	2.81999e-27
5.0	5.01187	1.77866e-27
5.0	5.4117	1.12189e-27
5.0	5.84341	7.07544e-28
5.0	6.30957	4.46208e-28
5.0	6.81292	2.81304e-28
5.0	7.35642	1.77309e-28
5.0	7.94328	1.11686e-28
5.0	8.57696	7.02759e-29
5.86206897	1.0	3.63326e-22
5.86206897	1.07978	1.79887e-22
5.86206897	1.16591	8.69294e-23
5.86206897	1.25893	4.11318e-23
5.86206897	1.35936	1.92112e-23
5.86206897	1.4678	9.01491e-24
5.86206897	1.58489	4.38246e-24
5.86206897	1.71133	2.28453e-24
5.86206897	1.84785	1.29478e-24
5.86206897	1.99526	7.82582e-25
5.86206897	2.15443	4.89953e-25
5.86206897	2.32631	3.10696e-25
5.86206897	2.51189	1.97307e-25
5.86206897	2.71227	1.24887e-25
5.86206897	2.92864	7.87486e-26
5.86206897	3.16228	4.9545e-26
5.86206897	3.41455	3.11676e-26
5.86206897	3.68695	1.96274e-26
5.86206897	3.98107	1.2375e-26
5.86206897	4.29866	7.80687e-27
5.86206897	4.64159	4.92488e-27
5.86206897	5.01187	3.10628e-27
5.86206897	5.4117	1.95912e-27
5.86206897	5.84341	1.23561e-27
5.86206897	6.30957	7.79303e-28
5.86206897	6.81292	4.91543e-28
5.86206897	7.35642	3.09991e-28
5.86206897	7.94328	1.95439e-28
5.86206897	8.57696	1.23182e-28
5.86206897	9.26119	7.75989e-29
6.72413793	1.0	1.07042e-21
6.72413793	1.07978	5.61783e-22
6.72413793	1.16591	2.87799e-22
6.72413793	1.25893	1.43773e-22
6.72413793	1.35936	7.00046e-23
6.72413793	1.4678	3.32494e-23
6.72413793	1.58489	1.54667e-23
6.72413793	1.71133	7.1251e-24
6.72413793	1.84785	3.32871e-24
6.72413793	1.99526	1.63889e-24
6.72413793	2.15443	8.80643e-25
6.72413793	2.32631	5.15518e-25
6.72413793	2.51189	3.18196e-25
6.72413793	2.71227	2.00719e-25
6.72413793	2.92864	1.27166e-25
6.72413793	3.16228	8.03803e-26
6.72413793	3.41455	5.06473e-26
6.72413793	3.68695	3.18625e-26
6.72413793	3.98107	2.00462e-26
6.72413793	4.29866	1.26272e-26
6.72413793	4.64159	7.96268e-27
6.72413793	5.01187	5.02359e-27
6.72413793	5.4117	3.16899e-27
6.72413793	5.84341	1.99866e-27
6.72413793	6.30957	1.26057e-27
6.72413793	6.81292	7.94811e-28
6.72413793	7.35642	5.01468e-28
6.72413793	7.94328	3.16272e-28
6.72413793	8.57696	1.99445e-28
6.72413793	9.26119	1.25744e-28
6.72413793	10.0	7.92454e-29
7.5862069	1.0	2.4594e-21
7.5862069	1.07978	1.35151e-21
7.5862069	1.16591	7.27095e-22
7.5862069	1.25893	3.82369e-22
7.5862069	1.35936	1.9629e-22
7.5862069	1.4678	9.82325e-23
7.5862069	1.58489	4.78824e-23
7.5862069	1.71133	2.27379e-23
7.5862069	1.84785	1.05451e-23
7.5862069	1.99526	4.81647e-24
7.5862069	2.15443	2.21219e-24
7.5862069	2.32631	1.06089e-24
7.5862069	2.51189	5.54642e-25
7.5862069	2.71227	3.18671e-25
7.5862069	2.92864	1.94985e-25
7.5862069	3.16228	1.22449e-25
7.5862069	3.41455	7.73756e-26
7.5862069	3.68695	4.88109e-26
7.5862069	3.98107	3.07222e-26
7.5862069	4.29866	1.9322e-26
7.5862069	4.64159	1.21618e-26
7.5862069	5.01187	7.66511e-27
7.5862069	5.4117	4.83498e-27
7.5862069	5.84341	3.05022e-27
7.5862069	6.30957	1.92397e-27
7.5862069	6.81292	1.21345e-27
7.5862069	7.35642	7.65341e-28
7.5862069	7.94328	4.82726e-28
7.5862069	8.57696	3.04463e-28
7.5862069	9.26119	1.92015e-28
7.5862069	10.0	1.21076e-28
8.44827586	1.0	4.7664e-21
8.44827586	1.07978	2.71452e-21
8.44827586	1.16591	1.51723e-21
8.44827586	1.25893	8.31211e-22
8.44827586	1.35936	4.45692e-22
8.44827586	1.4678	2.33552e-22
8.44827586	1.58489	1.19426e-22
8.44827586	1.71133	5.95093e-23
8.44827586	1.84785	2.88685e-23
8.44827586	1.99526	1.36312e-23
8.44827586	2.15443	6.28143e-24
8.44827586	2.32631	2.84836e-24
8.44827586	2.51189	1.29825e-24
8.44827586	2.71227	6.19097e-25
8.44827586	2.92864	3.23115e-25
8.44827586	3.16228	1.85772e-25
8.44827586	3.41455	1.13722e-25
8.44827586	3.68695	7.13052e-26
8.44827586	3.98107	4.49361e-26
8.44827586	4.29866	2.82899e-26
8.44827586	4.64159	1.77916e-26
8.44827586	5.01187	1.11936e-26
8.44827586	5.4117	7.05104e-27
8.44827586	5.84341	4.44613e-27
8.44827586	6.30957	2.80502e-27
8.44827586	6.81292	1.76922e-27
8.44827586	7.35642	1.11606e-27
8.44827586	7.94328	7.03925e-28
8.44827586	8.57696	4.43972e-28
8.44827586	9.26119	2.80035e-28
8.44827586	10.0	1.76618e-28
9.31034483	1.0	8.18812e-21
9.31034483	1.07978	4.79681e-21
9.31034483	1.16591	2.76364e-21
9.31034483	1.25893	1.56401e-21
9.31034483	1.35936	8.68316e-22
9.31034483	1.4678	4.72279e-22
9.31034483	1.58489	2.51291e-22
9.31034483	1.71133	1.30603e-22
9.31034483	1.84785	6.61966e-23
9.31034483	1.99526	3.26727e-23
9.31034483	2.15443	1.56915e-23
9.31034483	2.32631	7.33355e-24
9.31034483	2.51189	3.34623e-24
9.31034483	2.71227	1.50602e-24
9.31034483	2.92864	6.86432e-25
9.31034483	3.16228	3.31171e-25
9.31034483	3.41455	1.76668e-25
9.31034483	3.68695	1.03361e-25
9.31034483	3.98107	6.3665e-26
9.31034483	4.29866	3.99182e-26
9.31034483	4.64159	2.51087e-26
9.31034483	5.01187	1.57883e-26
9.31034483	5.4117	9.92985e-27
9.31034483	5.84341	6.2528e-27
9.31034483	6.30957	3.94215e-27
9.31034483	6.81292	2.48689e-27
9.31034483	7.35642	1.5687e-27
9.31034483	7.94328	9.89568e-28
9.31034483	8.57696	6.24074e-28
9.31034483	9.26119	3.93639e-28
9.31034483	10.0	2.48284e-28
