r0[m]	uref[m/s]	Noise[Hz^-1/2]
30.0	50.0	0.135936	2.43049e-23
30.0	50.0	0.158489	2.6489e-23
30.0	50.0	0.184785	2.89296e-23
30.0	50.0	0.215443	3.16507e-23
30.0	50.0	0.251189	3.47039e-23
30.0	50.0	0.292864	3.81363e-23
30.0	50.0	0.341455	4.20567e-23
30.0	50.0	0.398107	4.65217e-23
30.0	50.0	0.464159	5.17009e-23
30.0	50.0	0.54117	5.77e-23
30.0	50.0	0.630957	6.49639e-23
30.0	50.0	0.735642	7.3836e-23
30.0	50.0	0.857696	8.52106e-23
30.0	50.0	1	1.00825e-22
5.0	10.0	0.01	5.46176e-26
5.0	10.0	0.0116591	5.9093e-26
5.0	10.0	0.0135936	6.40571e-26
5.0	10.0	0.0158489	6.95781e-26
5.0	10.0	0.0184785	7.57254e-26
5.0	10.0	0.0215443	8.25889e-26
5.0	10.0	0.0251189	9.02738e-26
5.0	10.0	0.0292864	9.88831e-26
5.0	10.0	0.0341455	1.08552e-25
5.0	10.0	0.0398107	1.19428e-25
5.0	10.0	0.0464159	1.31688e-25
5.0	10.0	0.054117	1.4554e-25
5.0	10.0	0.0630957	1.61229e-25
5.0	10.0	0.0735642	1.79041e-25
5.0	10.0	0.0857696	1.99327e-25
5.0	10.0	0.1	2.22539e-25
5.0	10.0	0.116591	2.49277e-25
5.0	10.0	0.135936	2.80243e-25
5.0	10.0	0.158489	3.16441e-25
5.0	10.0	0.184785	3.59229e-25
5.0	10.0	0.215443	4.10402e-25
5.0	10.0	0.251189	4.72448e-25
5.0	10.0	0.292864	5.48842e-25
5.0	10.0	0.341455	6.44265e-25
5.0	10.0	0.398107	7.65272e-25
5.0	10.0	0.464159	9.20693e-25
5.0	10.0	0.54117	1.12271e-24
5.0	10.0	0.630957	1.38809e-24
5.0	10.0	0.735642	1.73988e-24
5.0	10.0	0.857696	2.20996e-24
5.0	10.0	1	2.84371e-24
5.0	100.0	0.01	5.49828e-27
5.0	100.0	0.0116591	5.95323e-27
5.0	100.0	0.0135936	6.46464e-27
5.0	100.0	0.0158489	7.02284e-27
5.0	100.0	0.0184785	7.51744e-27
5.0	100.0	0.0215443	8.33593e-27
5.0	100.0	0.0251189	9.02333e-27
5.0	100.0	0.0292864	9.99932e-27
5.0	100.0	0.0341455	9.20504e-27
5.0	100.0	0.0398107	1.16972e-26
5.0	100.0	0.0464159	5.86095e-27
5.0	100.0	0.054117	1.47053e-26
5.0	100.0	0.0630957	1.62339e-26
5.0	100.0	0.0735642	1.81184e-26
5.0	100.0	0.0857696	1.9845e-26
5.0	100.0	0.1	2.25835e-26
5.0	100.0	0.116591	2.34008e-26
5.0	100.0	0.135936	2.84631e-26
5.0	100.0	0.158489	3.1618e-26
5.0	100.0	0.184785	3.49515e-26
5.0	100.0	0.215443	4.17155e-26
5.0	100.0	0.251189	4.79451e-26
5.0	100.0	0.292864	5.57964e-26
5.0	100.0	0.341455	6.54011e-26
5.0	100.0	0.398107	7.14817e-26
5.0	100.0	0.464159	9.35843e-26
5.0	100.0	0.54117	1.10988e-25
5.0	100.0	0.630957	1.35834e-25
5.0	100.0	0.735642	1.58906e-25
5.0	100.0	0.857696	2.23492e-25
5.0	100.0	1	2.8437e-25
5.0	20.0	0.01	2.73871e-26
5.0	20.0	0.0116591	2.9637e-26
5.0	20.0	0.0135936	3.21357e-26
5.0	20.0	0.0158489	3.49154e-26
5.0	20.0	0.0184785	3.80113e-26
5.0	20.0	0.0215443	4.14636e-26
5.0	20.0	0.0251189	4.53405e-26
5.0	20.0	0.0292864	4.96822e-26
5.0	20.0	0.0341455	5.45582e-26
5.0	20.0	0.0398107	6.00358e-26
5.0	20.0	0.0464159	6.61905e-26
5.0	20.0	0.054117	7.32066e-26
5.0	20.0	0.0630957	8.11426e-26
5.0	20.0	0.0735642	9.01353e-26
5.0	20.0	0.0857696	1.00378e-25
5.0	20.0	0.1	1.12107e-25
5.0	20.0	0.116591	1.25616e-25
5.0	20.0	0.135936	1.4126e-25
5.0	20.0	0.158489	1.59539e-25
5.0	20.0	0.184785	1.81157e-25
5.0	20.0	0.215443	2.07026e-25
5.0	20.0	0.251189	2.38369e-25
5.0	20.0	0.292864	2.76944e-25
5.0	20.0	0.341455	3.25073e-25
5.0	20.0	0.398107	3.86077e-25
5.0	20.0	0.464159	4.64445e-25
5.0	20.0	0.54117	5.65394e-25
5.0	20.0	0.630957	6.99318e-25
5.0	20.0	0.735642	8.75544e-25
5.0	20.0	0.857696	1.11064e-24
5.0	20.0	1	1.42652e-24
5.0	30.0	0.01	1.82941e-26
5.0	30.0	0.0116591	1.97977e-26
5.0	30.0	0.0135936	2.14677e-26
5.0	30.0	0.0158489	2.33273e-26
5.0	30.0	0.0184785	2.53968e-26
5.0	30.0	0.0215443	2.76981e-26
5.0	30.0	0.0251189	3.02969e-26
5.0	30.0	0.0292864	3.31999e-26
5.0	30.0	0.0341455	3.64595e-26
5.0	30.0	0.0398107	4.01055e-26
5.0	30.0	0.0464159	4.41716e-26
5.0	30.0	0.054117	4.8917e-26
5.0	30.0	0.0630957	5.42357e-26
5.0	30.0	0.0735642	6.02559e-26
5.0	30.0	0.0857696	6.71e-26
5.0	30.0	0.1	7.49553e-26
5.0	30.0	0.116591	8.39901e-26
5.0	30.0	0.135936	9.44551e-26
5.0	30.0	0.158489	1.06671e-25
5.0	30.0	0.184785	1.21126e-25
5.0	30.0	0.215443	1.38451e-25
5.0	30.0	0.251189	1.59407e-25
5.0	30.0	0.292864	1.85219e-25
5.0	30.0	0.341455	2.17385e-25
5.0	30.0	0.398107	2.58152e-25
5.0	30.0	0.464159	3.10601e-25
5.0	30.0	0.54117	3.76723e-25
5.0	30.0	0.630957	4.67509e-25
5.0	30.0	0.735642	5.8513e-25
5.0	30.0	0.857696	7.42183e-25
5.0	30.0	1	9.52739e-25
5.0	40.0	0.01	1.37372e-26
5.0	40.0	0.0116591	1.48649e-26
5.0	40.0	0.0135936	1.61219e-26
5.0	40.0	0.0158489	1.75172e-26
5.0	40.0	0.0184785	1.90706e-26
5.0	40.0	0.0215443	2.0801e-26
5.0	40.0	0.0251189	2.27516e-26
5.0	40.0	0.0292864	2.49336e-26
5.0	40.0	0.0341455	2.7379e-26
5.0	40.0	0.0398107	3.00949e-26
5.0	40.0	0.0464159	3.30833e-26
5.0	40.0	0.054117	3.67245e-26
5.0	40.0	0.0630957	4.07288e-26
5.0	40.0	0.0735642	4.52583e-26
5.0	40.0	0.0857696	5.03911e-26
5.0	40.0	0.1	5.63027e-26
5.0	40.0	0.116591	6.30866e-26
5.0	40.0	0.135936	7.09526e-26
5.0	40.0	0.158489	8.00899e-26
5.0	40.0	0.184785	9.09651e-26
5.0	40.0	0.215443	1.04008e-25
5.0	40.0	0.251189	1.19719e-25
5.0	40.0	0.292864	1.39141e-25
5.0	40.0	0.341455	1.63266e-25
5.0	40.0	0.398107	1.93839e-25
5.0	40.0	0.464159	2.33323e-25
5.0	40.0	0.54117	2.8249e-25
5.0	40.0	0.630957	3.51088e-25
5.0	40.0	0.735642	4.39162e-25
5.0	40.0	0.857696	5.57365e-25
5.0	40.0	1	7.14383e-25
5.0	5.0	0.01	1.10201e-25
5.0	5.0	0.0116591	1.19102e-25
5.0	5.0	0.0135936	1.28963e-25
5.0	5.0	0.0158489	1.39916e-25
5.0	5.0	0.0184785	1.52093e-25
5.0	5.0	0.0215443	1.6568e-25
5.0	5.0	0.0251189	1.80864e-25
5.0	5.0	0.0292864	1.97855e-25
5.0	5.0	0.0341455	2.16915e-25
5.0	5.0	0.0398107	2.38338e-25
5.0	5.0	0.0464159	2.62458e-25
5.0	5.0	0.054117	2.89683e-25
5.0	5.0	0.0630957	3.20495e-25
5.0	5.0	0.0735642	3.55455e-25
5.0	5.0	0.0857696	3.95261e-25
5.0	5.0	0.1	4.40783e-25
5.0	5.0	0.116591	4.93207e-25
5.0	5.0	0.135936	5.53918e-25
5.0	5.0	0.158489	6.24881e-25
5.0	5.0	0.184785	7.08788e-25
5.0	5.0	0.215443	8.09178e-25
5.0	5.0	0.251189	9.31075e-25
5.0	5.0	0.292864	1.0814e-24
5.0	5.0	0.341455	1.26986e-24
5.0	5.0	0.398107	1.50986e-24
5.0	5.0	0.464159	1.82015e-24
5.0	5.0	0.54117	2.22723e-24
5.0	5.0	0.630957	2.768e-24
5.0	5.0	0.735642	3.49752e-24
5.0	5.0	0.857696	4.4958e-24
5.0	5.0	1	5.88904e-24
5.0	50.0	0.01	1.09969e-26
5.0	50.0	0.0116591	1.19002e-26
5.0	50.0	0.0135936	1.29074e-26
5.0	50.0	0.0158489	1.40253e-26
5.0	50.0	0.0184785	1.52672e-26
5.0	50.0	0.0215443	1.66551e-26
5.0	50.0	0.0251189	1.82145e-26
5.0	50.0	0.0292864	1.99641e-26
5.0	50.0	0.0341455	2.19151e-26
5.0	50.0	0.0398107	2.40678e-26
5.0	50.0	0.0464159	2.62993e-26
5.0	50.0	0.054117	2.93944e-26
5.0	50.0	0.0630957	3.26018e-26
5.0	50.0	0.0735642	3.62384e-26
5.0	50.0	0.0857696	4.03391e-26
5.0	50.0	0.1	4.50837e-26
5.0	50.0	0.116591	5.05044e-26
5.0	50.0	0.135936	5.68162e-26
5.0	50.0	0.158489	6.40523e-26
5.0	50.0	0.184785	7.27926e-26
5.0	50.0	0.215443	8.32871e-26
5.0	50.0	0.251189	9.57967e-26
5.0	50.0	0.292864	1.11421e-25
5.0	50.0	0.341455	1.307e-25
5.0	50.0	0.398107	1.55047e-25
5.0	50.0	0.464159	1.86838e-25
5.0	50.0	0.54117	2.25799e-25
5.0	50.0	0.630957	2.80978e-25
5.0	50.0	0.735642	3.50732e-25
5.0	50.0	0.857696	4.46257e-25
5.0	50.0	1	5.70035e-25
