r0[m]	uref[m/s]	Noise[Hz^-1/2]
10.0	40.0	0.464159	3.08669e-24
10.0	40.0	0.54117	3.67313e-24
10.0	40.0	0.630957	4.42391e-24
10.0	40.0	0.735642	5.36586e-24
10.0	40.0	0.857696	6.56232e-24
10.0	40.0	1	8.09184e-24
10.0	5.0	0.01	2.25231e-23
10.0	5.0	0.0116591	2.34244e-23
10.0	5.0	0.0135936	2.44248e-23
10.0	5.0	0.0158489	2.55369e-23
10.0	5.0	0.0184785	2.67793e-23
10.0	5.0	0.0215443	2.81653e-23
10.0	5.0	0.0251189	2.97205e-23
10.0	5.0	0.0292864	3.14717e-23
10.0	5.0	0.0341455	3.34464e-23
10.0	5.0	0.0398107	3.56805e-23
10.0	5.0	0.0464159	3.82229e-23
10.0	5.0	0.054117	4.11255e-23
10.0	5.0	0.0630957	4.44484e-23
10.0	5.0	0.0735642	4.82758e-23
10.0	5.0	0.0857696	5.27032e-23
10.0	5.0	0.1	5.78503e-23
10.0	5.0	0.116591	6.38681e-23
10.0	5.0	0.135936	7.09468e-23
10.0	5.0	0.158489	7.93273e-23
10.0	5.0	0.184785	8.93087e-23
10.0	5.0	0.215443	1.0128e-22
10.0	5.0	0.251189	1.15765e-22
10.0	5.0	0.292864	1.33392e-22
10.0	5.0	0.341455	1.55083e-22
10.0	5.0	0.398107	1.81938e-22
10.0	5.0	0.464159	2.15616e-22
10.0	5.0	0.54117	2.58195e-22
10.0	5.0	0.630957	3.12662e-22
10.0	5.0	0.735642	3.83152e-22
10.0	5.0	0.857696	4.75494e-22
10.0	5.0	1	5.98083e-22
10.0	50.0	0.01	1.20725e-25
10.0	50.0	0.0116591	1.31006e-25
10.0	50.0	0.0135936	1.42547e-25
10.0	50.0	0.0158489	1.55558e-25
10.0	50.0	0.0184785	1.70215e-25
10.0	50.0	0.0215443	1.86835e-25
10.0	50.0	0.0251189	2.06141e-25
10.0	50.0	0.0292864	2.27905e-25
10.0	50.0	0.0341455	2.52392e-25
10.0	50.0	0.0398107	2.81432e-25
10.0	50.0	0.0464159	2.96177e-25
10.0	50.0	0.054117	3.52166e-25
10.0	50.0	0.0630957	3.95859e-25
10.0	50.0	0.0735642	4.45862e-25
10.0	50.0	0.0857696	5.05018e-25
10.0	50.0	0.1	5.72773e-25
10.0	50.0	0.116591	6.51264e-25
10.0	50.0	0.135936	7.44486e-25
10.0	50.0	0.158489	8.52584e-25
10.0	50.0	0.184785	9.78858e-25
10.0	50.0	0.215443	1.12882e-24
10.0	50.0	0.251189	1.30634e-24
10.0	50.0	0.292864	1.5168e-24
10.0	50.0	0.341455	1.77578e-24
10.0	50.0	0.398107	2.08551e-24
10.0	50.0	0.464159	2.47153e-24
10.0	50.0	0.54117	2.93877e-24
10.0	50.0	0.630957	3.54087e-24
10.0	50.0	0.735642	4.29603e-24
10.0	50.0	0.857696	5.25355e-24
10.0	50.0	1	6.47731e-24
20.0	10.0	0.01	1.26845e-22
20.0	10.0	0.0116591	1.3295e-22
20.0	10.0	0.0135936	1.39656e-22
20.0	10.0	0.0158489	1.47068e-22
20.0	10.0	0.0184785	1.55265e-22
20.0	10.0	0.0215443	1.64347e-22
20.0	10.0	0.0251189	1.74462e-22
20.0	10.0	0.0292864	1.85752e-22
20.0	10.0	0.0341455	1.98377e-22
20.0	10.0	0.0398107	2.12537e-22
20.0	10.0	0.0464159	2.28536e-22
20.0	10.0	0.054117	2.46616e-22
20.0	10.0	0.0630957	2.67119e-22
20.0	10.0	0.0735642	2.90499e-22
20.0	10.0	0.0857696	3.1723e-22
20.0	10.0	0.1	3.47999e-22
20.0	10.0	0.116591	3.83526e-22
20.0	10.0	0.135936	4.2476e-22
20.0	10.0	0.158489	4.72845e-22
20.0	10.0	0.184785	5.29217e-22
20.0	10.0	0.215443	5.95902e-22
20.0	10.0	0.251189	6.75062e-22
20.0	10.0	0.292864	7.69612e-22
20.0	10.0	0.341455	8.83534e-22
20.0	10.0	0.398107	1.02159e-21
20.0	10.0	0.464159	1.19047e-21
20.0	10.0	0.54117	1.39867e-21
20.0	10.0	0.630957	1.65784e-21
20.0	10.0	0.735642	1.98362e-21
20.0	10.0	0.857696	2.39708e-21
20.0	10.0	1	2.92845e-21
20.0	100.0	0.01	8.24042e-25
20.0	100.0	0.0116591	8.91414e-25
20.0	100.0	0.0135936	9.65656e-25
20.0	100.0	0.0158489	1.03103e-24
20.0	100.0	0.0184785	1.13436e-24
20.0	100.0	0.0215443	1.23357e-24
20.0	100.0	0.0251189	1.35055e-24
20.0	100.0	0.0292864	1.47727e-24
20.0	100.0	0.0341455	1.61833e-24
20.0	100.0	0.0398107	1.7758e-24
20.0	100.0	0.0464159	1.95339e-24
20.0	100.0	0.054117	2.15241e-24
20.0	100.0	0.0630957	2.37732e-24
20.0	100.0	0.0735642	2.63208e-24
20.0	100.0	0.0857696	2.91909e-24
20.0	100.0	0.1	3.24118e-24
20.0	100.0	0.116591	3.61077e-24
20.0	100.0	0.135936	4.01512e-24
20.0	100.0	0.158489	4.49613e-24
