z0[m]	f[Hz]	Noise[Hz^-1/2]
0.02212216	3.16228	1.28697e-24
0.02212216	3.41455	8.29143e-25
0.02212216	3.68695	5.31657e-25
0.02212216	3.98107	3.39134e-25
0.02212216	4.29866	2.15512e-25
0.02212216	4.64159	1.36588e-25
0.02212216	5.01187	8.63343e-26
0.02212216	5.4117	5.43491e-26
0.02212216	5.84341	3.4017e-26
0.02212216	6.30957	2.11368e-26
0.02212216	6.81292	1.30357e-26
0.02212216	7.35642	7.98869e-27
0.02212216	7.94328	4.87953e-27
0.02212216	8.57696	2.98158e-27
0.02212216	9.26119	1.83164e-27
0.02212216	10.0	1.13583e-27
0.02592944	1.0	8.70123e-21
0.02592944	1.07978	5.05601e-21
0.02592944	1.16591	2.88643e-21
0.02592944	1.25893	1.61745e-21
0.02592944	1.35936	8.88897e-22
0.02592944	1.4678	4.78739e-22
0.02592944	1.58489	2.52623e-22
0.02592944	1.71133	1.30764e-22
0.02592944	1.84785	6.66177e-23
0.02592944	1.99526	3.3692e-23
0.02592944	2.15443	1.72004e-23
0.02592944	2.32631	9.08248e-24
0.02592944	2.51189	5.0704e-24
0.02592944	2.71227	3.00047e-24
0.02592944	2.92864	1.85067e-24
0.02592944	3.16228	1.16452e-24
0.02592944	3.41455	7.37837e-25
0.02592944	3.68695	4.67845e-25
0.02592944	3.98107	2.96352e-25
0.02592944	4.29866	1.87388e-25
0.02592944	4.64159	1.18092e-25
0.02592944	5.01187	7.40276e-26
0.02592944	5.4117	4.60838e-26
0.02592944	5.84341	2.84751e-26
0.02592944	6.30957	1.74772e-26
0.02592944	6.81292	1.06793e-26
0.02592944	7.35642	6.52034e-27
0.02592944	7.94328	3.99773e-27
0.02592944	8.57696	2.47145e-27
0.02592944	9.26119	1.54534e-27
0.02592944	10.0	9.76607e-28
0.03039195	1.0	8.93333e-21
0.03039195	1.07978	5.20391e-21
0.03039195	1.16591	2.97914e-21
0.03039195	1.25893	1.67455e-21
0.03039195	1.35936	9.23314e-22
0.03039195	1.4678	4.98976e-22
0.03039195	1.58489	2.64197e-22
0.03039195	1.71133	1.37151e-22
0.03039195	1.84785	6.99529e-23
0.03039195	1.99526	3.52769e-23
0.03039195	2.15443	1.78126e-23
0.03039195	2.32631	9.18546e-24
0.03039195	2.51189	4.94731e-24
0.03039195	2.71227	2.81589e-24
0.03039195	2.92864	1.68237e-24
0.03039195	3.16228	1.0366e-24
0.03039195	3.41455	6.48915e-25
0.03039195	3.68695	4.0863e-25
0.03039195	3.98107	2.57348e-25
0.03039195	4.29866	1.61498e-25
0.03039195	4.64159	1.0072e-25
0.03039195	5.01187	6.23509e-26
0.03039195	5.4117	3.83281e-26
0.03039195	5.84341	2.34385e-26
0.03039195	6.30957	1.43071e-26
0.03039195	6.81292	8.75546e-27
0.03039195	7.35642	5.39669e-27
0.03039195	7.94328	3.36314e-27
0.03039195	8.57696	2.1192e-27
0.03039195	9.26119	1.34689e-27
0.03039195	10.0	8.5936e-28
0.03562248	1.0	9.19176e-21
0.03562248	1.07978	5.3688e-21
0.03562248	1.16591	3.08267e-21
0.03562248	1.25893	1.73831e-21
0.03562248	1.35936	9.61738e-22
0.03562248	1.4678	5.21561e-22
0.03562248	1.58489	2.77085e-22
0.03562248	1.71133	1.44222e-22
0.03562248	1.84785	7.3625e-23
0.03562248	1.99526	3.70062e-23
0.03562248	2.15443	1.84751e-23
0.03562248	2.32631	9.30188e-24
0.03562248	2.51189	4.82806e-24
0.03562248	2.71227	2.63651e-24
0.03562248	2.92864	1.52311e-24
0.03562248	3.16228	9.1893e-25
0.03562248	3.41455	5.68154e-25
0.03562248	3.68695	3.54455e-25
0.03562248	3.98107	2.20875e-25
0.03562248	4.29866	1.36913e-25
0.03562248	4.64159	8.42915e-26
0.03562248	5.01187	5.15971e-26
0.03562248	5.4117	3.14925e-26
0.03562248	5.84341	1.92443e-26
0.03562248	6.30957	1.1831e-26
0.03562248	6.81292	7.34591e-27
0.03562248	7.35642	4.61292e-27
0.03562248	7.94328	2.92594e-27
0.03562248	8.57696	1.86552e-27
0.03562248	9.26119	1.19005e-27
0.03562248	10.0	7.56805e-28
0.04175319	1.0	9.47999e-21
0.04175319	1.07978	5.55309e-21
0.04175319	1.16591	3.19846e-21
0.04175319	1.25893	1.8096e-21
0.04175319	1.35936	1.00469e-21
0.04175319	1.4678	5.46841e-22
0.04175319	1.58489	2.91503e-22
0.04175319	1.71133	1.52134e-22
0.04175319	1.84785	7.77442e-23
0.04175319	1.99526	3.89771e-23
0.04175319	2.15443	1.92765e-23
0.04175319	2.32631	9.51195e-24
0.04175319	2.51189	4.77614e-24
0.04175319	2.71227	2.50236e-24
0.04175319	2.92864	1.39109e-24
0.04175319	3.16228	8.15702e-25
0.04175319	3.41455	4.94293e-25
0.04175319	3.68695	3.03296e-25
0.04175319	3.98107	1.86253e-25
0.04175319	4.29866	1.14005e-25
0.04175319	4.64159	6.95727e-26
0.04175319	5.01187	4.2463e-26
0.04175319	5.4117	2.60358e-26
0.04175319	5.84341	1.61089e-26
0.04175319	6.30957	1.00814e-26
0.04175319	6.81292	6.37578e-27
0.04175319	7.35642	4.0596e-27
0.04175319	7.94328	2.59069e-27
0.04175319	8.57696	1.6494e-27
0.04175319	9.26119	1.04564e-27
0.04175319	10.0	6.60067e-28
0.04893901	1.0	9.80275e-21
0.04893901	1.07978	5.7594e-21
0.04893901	1.16591	3.32807e-21
0.04893901	1.25893	1.88955e-21
0.04893901	1.35936	1.05291e-21
0.04893901	1.4678	5.75215e-22
0.04893901	1.58489	3.0773e-22
0.04893901	1.71133	1.61084e-22
0.04893901	1.84785	8.2465e-23
0.04893901	1.99526	4.13107e-23
0.04893901	2.15443	2.03162e-23
0.04893901	2.32631	9.88384e-24
0.04893901	2.51189	4.83147e-24
0.04893901	2.71227	2.4308e-24
0.04893901	2.92864	1.28927e-24
0.04893901	3.16228	7.24736e-25
0.04893901	3.41455	4.25597e-25
0.04893901	3.68695	2.55588e-25
0.04893901	3.98107	1.54832e-25
0.04893901	4.29866	9.41753e-26
0.04893901	4.64159	5.75682e-26
0.04893901	5.01187	3.54855e-26
0.04893901	5.4117	2.21175e-26
0.04893901	5.84341	1.3942e-26
0.04893901	6.30957	8.86266e-27
0.04893901	6.81292	5.65363e-27
0.04893901	7.35642	3.60253e-27
0.04893901	7.94328	2.28717e-27
0.04893901	8.57696	1.44544e-27
0.04893901	9.26119	9.1066e-28
0.04893901	10.0	5.73109e-28
0.05736153	1.0	1.01643e-20
0.05736153	1.07978	5.99087e-21
0.05736153	1.16591	3.47371e-21
0.05736153	1.25893	1.97944e-21
0.05736153	1.35936	1.10726e-21
0.05736153	1.4678	6.07311e-22
0.05736153	1.58489	3.2615e-22
0.05736153	1.71133	1.71349e-22
0.05736153	1.84785	8.79696e-23
0.05736153	1.99526	4.41274e-23
0.05736153	2.15443	2.16602e-23
0.05736153	2.32631	1.0448e-23
0.05736153	2.51189	5.0046e-24
0.05736153	2.71227	2.42499e-24
0.05736153	2.92864	1.21948e-24
0.05736153	3.16228	6.48734e-25
0.05736153	3.41455	3.65379e-25
0.05736153	3.68695	2.14287e-25
0.05736153	3.98107	1.28805e-25
0.05736153	4.29866	7.87117e-26
0.05736153	4.64159	4.87772e-26
0.05736153	5.01187	3.06158e-26
0.05736153	5.4117	1.94117e-26
0.05736153	5.84341	1.23724e-26
0.05736153	6.30957	7.88971e-27
0.05736153	6.81292	5.01363e-27
0.05736153	7.35642	3.17314e-27
0.05736153	7.94328	2.00087e-27
0.05736153	8.57696	1.25926e-27
0.05736153	9.26119	7.92728e-28
0.05736153	10.0	4.99612e-28
0.06723358	1.0	1.05705e-20
0.06723358	1.07978	6.25127e-21
0.06723358	1.16591	3.63778e-21
0.06723358	1.25893	2.081e-21
0.06723358	1.35936	1.16881e-21
0.06723358	1.4678	6.43766e-22
0.06723358	1.58489	3.47259e-22
0.06723358	1.71133	1.83216e-22
0.06723358	1.84785	9.44414e-23
0.06723358	1.99526	4.75219e-23
0.06723358	2.15443	2.33429e-23
0.06723358	2.32631	1.12142e-23
0.06723358	2.51189	5.29831e-24
0.06723358	2.71227	2.49135e-24
0.06723358	2.92864	1.19187e-24
0.06723358	3.16228	5.96705e-25
0.06723358	3.41455	3.19485e-25
0.06723358	3.68695	1.82697e-25
0.06723358	3.98107	1.09627e-25
0.06723358	4.29866	6.78253e-26
0.06723358	4.64159	4.27278e-26
0.06723358	5.01187	2.71717e-26
0.06723358	5.4117	1.73251e-26
0.06723358	5.84341	1.10225e-26
0.06723358	6.30957	6.98632e-27
0.06723358	6.81292	4.40897e-27
0.06723358	7.35642	2.77518e-27
0.06723358	7.94328	1.74666e-27
0.06723358	8.57696	1.10028e-27
0.06723358	9.26119	6.93938e-28
0.06723358	10.0	4.37869e-28
0.07880463	1.0	1.10284e-20
0.07880463	1.07978	6.54504e-21
0.07880463	1.16591	3.82323e-21
0.07880463	1.25893	2.19611e-21
0.07880463	1.35936	1.23883e-21
0.07880463	1.4678	6.85459e-22
0.07880463	1.58489	3.71532e-22
0.07880463	1.71133	1.96992e-22
0.07880463	1.84785	1.02037e-22
0.07880463	1.99526	5.15645e-23
0.07880463	2.15443	2.54033e-23
0.07880463	2.32631	1.22e-23
0.07880463	2.51189	5.7247e-24
0.07880463	2.71227	2.64166e-24
0.07880463	2.92864	1.21786e-24
0.07880463	3.16228	5.7747e-25
0.07880463	3.41455	2.92933e-25
0.07880463	3.68695	1.62324e-25
0.07880463	3.98107	9.68826e-26
0.07880463	4.29866	6.03433e-26
0.07880463	4.64159	3.82401e-26
0.07880463	5.01187	2.43203e-26
0.07880463	5.4117	1.54273e-26
0.07880463	5.84341	9.746e-27
0.07880463	6.30957	6.13787e-27
0.07880463	6.81292	3.86192e-27
0.07880463	7.35642	2.4312e-27
0.07880463	7.94328	1.5327e-27
0.07880463	8.57696	9.6697e-28
0.07880463	9.26119	6.10142e-28
0.07880463	10.0	3.84904e-28
0.09236709	1.0	1.15458e-20
0.09236709	1.07978	6.87795e-21
0.09236709	1.16591	4.034e-21
0.09236709	1.25893	2.32724e-21
0.09236709	1.35936	1.31889e-21
0.09236709	1.4678	7.33372e-22
0.09236709	1.58489	3.99565e-22
0.09236709	1.71133	2.13011e-22
0.09236709	1.84785	1.10939e-22
0.09236709	1.99526	5.63661e-23
0.09236709	2.15443	2.78971e-23
0.09236709	2.32631	1.34376e-23
0.09236709	2.51189	6.30104e-24
0.09236709	2.71227	2.8854e-24
0.09236709	2.92864	1.30315e-24
0.09236709	3.16228	5.94533e-25
0.09236709	3.41455	2.8641e-25
0.09236709	3.68695	1.51855e-25
0.09236709	3.98107	8.85174e-26
0.09236709	4.29866	5.45469e-26
0.09236709	4.64159	3.42963e-26
0.09236709	5.01187	2.16348e-26
0.09236709	5.4117	1.36262e-26
0.09236709	5.84341	8.57066e-27
0.09236709	6.30957	5.39297e-27
0.09236709	6.81292	3.39753e-27
0.09236709	7.35642	2.14238e-27
0.09236709	7.94328	1.35192e-27
0.09236709	8.57696	8.52848e-28
0.09236709	9.26119	5.37941e-28
0.09236709	10.0	3.39288e-28
0.10826367	1.0	1.21331e-20
0.10826367	1.07978	7.25632e-21
0.10826367	1.16591	4.27414e-21
0.10826367	1.25893	2.47711e-21
0.10826367	1.35936	1.41083e-21
0.10826367	1.4678	7.88597e-22
0.10826367	1.58489	4.32061e-22
0.10826367	1.71133	2.31678e-22
0.10826367	1.84785	1.21399e-22
0.10826367	1.99526	6.20649e-23
0.10826367	2.15443	3.09048e-23
0.10826367	2.32631	1.49684e-23
0.10826367	2.51189	7.04653e-24
0.10826367	2.71227	3.22748e-24
0.10826367	2.92864	1.44671e-24
0.10826367	3.16228	6.4526e-25
0.10826367	3.41455	2.97223e-25
0.10826367	3.68695	1.48684e-25
0.10826367	3.98107	8.25622e-26
0.10826367	4.29866	4.94056e-26
0.10826367	4.64159	3.05768e-26
0.10826367	5.01187	1.91321e-26
0.10826367	5.4117	1.20159e-26
0.10826367	5.84341	7.56188e-27
0.10826367	6.30957	4.76628e-27
0.10826367	6.81292	3.00622e-27
0.10826367	7.35642	1.8963e-27
0.10826367	7.94328	1.19618e-27
0.10826367	8.57696	7.54385e-28
0.10826367	9.26119	4.7579e-28
0.10826367	10.0	3.00096e-28
0.1268961	1.0	1.28022e-20
0.1268961	1.07978	7.68851e-21
0.1268961	1.16591	4.54905e-21
0.1268961	1.25893	2.64924e-21
0.1268961	1.35936	1.51671e-21
0.1268961	1.4678	8.52481e-22
0.1268961	1.58489	4.69833e-22
0.1268961	1.71133	2.53517e-22
0.1268961	1.84785	1.33731e-22
0.1268961	1.99526	6.88408e-23
0.1268961	2.15443	3.45269e-23
0.1268961	2.32631	1.68444e-23
0.1268961	2.51189	7.98305e-24
0.1268961	2.71227	3.67465e-24
0.1268961	2.92864	1.64734e-24
0.1268961	3.16228	7.26325e-25
0.1268961	3.41455	3.23042e-25
0.1268961	3.68695	1.51714e-25
0.1268961	3.98107	7.86568e-26
0.1268961	4.29866	4.49749e-26
0.1268961	4.64159	2.72745e-26
0.1268961	5.01187	1.69681e-26
0.1268961	5.4117	1.0656e-26
0.1268961	5.84341	6.71423e-27
0.1268961	6.30957	4.23409e-27
0.1268961	6.81292	2.67001e-27
0.1268961	7.35642	1.68367e-27
0.1268961	7.94328	1.06187e-27
0.1268961	8.57696	6.6966e-28
0.1268961	9.26119	4.22363e-28
0.1268961	10.0	2.66402e-28
0.14873521	1.0	1.35667e-20
0.14873521	1.07978	8.18376e-21
0.14873521	1.16591	4.86516e-21
0.14873521	1.25893	2.8477e-21
0.14873521	1.35936	1.63928e-21
0.14873521	1.4678	9.26834e-22
0.14873521	1.58489	5.13972e-22
0.14873521	1.71133	2.79201e-22
0.14873521	1.84785	1.48324e-22
0.14873521	1.99526	7.69317e-23
0.14873521	2.15443	3.88922e-23
0.14873521	2.32631	1.91331e-23
0.14873521	2.51189	9.14297e-24
0.14873521	2.71227	4.24017e-24
0.14873521	2.92864	1.90946e-24
0.14873521	3.16228	8.38809e-25
0.14873521	3.41455	3.64703e-25
0.14873521	3.68695	1.62277e-25
0.14873521	3.98107	7.79394e-26
0.14873521	4.29866	4.18703e-26
0.14873521	4.64159	2.46356e-26
0.14873521	5.01187	1.51799e-26
0.14873521	5.4117	9.51209e-27
0.14873521	5.84341	5.98814e-27
0.14873521	6.30957	3.77462e-27
0.14873521	6.81292	2.37978e-27
0.14873521	7.35642	1.50049e-27
0.14873521	7.94328	9.46312e-28
0.14873521	8.57696	5.96775e-28
0.14873521	9.26119	3.76398e-28
0.14873521	10.0	2.37394e-28
0.17433288	1.0	1.44444e-20
0.17433288	1.07978	8.75353e-21
0.17433288	1.16591	5.23008e-21
0.17433288	1.25893	3.07776e-21
0.17433288	1.35936	1.78186e-21
0.17433288	1.4678	1.01359e-21
0.17433288	1.58489	5.65826e-22
0.17433288	1.71133	3.09537e-22
0.17433288	1.84785	1.65692e-22
0.17433288	1.99526	8.66315e-23
0.17433288	2.15443	4.41743e-23
0.17433288	2.32631	2.19287e-23
0.17433288	2.51189	1.0576e-23
0.17433288	2.71227	4.94993e-24
0.17433288	2.92864	2.24572e-24
0.17433288	3.16228	9.89084e-25
0.17433288	3.41455	4.25771e-25
0.17433288	3.68695	1.82888e-25
0.17433288	3.98107	8.20149e-26
0.17433288	4.29866	4.07291e-26
0.17433288	4.64159	2.27616e-26
0.17433288	5.01187	1.37233e-26
0.17433288	5.4117	8.53716e-27
0.17433288	5.84341	5.36324e-27
0.17433288	6.30957	3.37844e-27
0.17433288	6.81292	2.129e-27
0.17433288	7.35642	1.34276e-27
0.17433288	7.94328	8.46878e-28
0.17433288	8.57696	5.34039e-28
0.17433288	9.26119	3.36813e-28
0.17433288	10.0	2.12421e-28
0.20433597	1.0	1.54551e-20
0.20433597	1.07978	9.41263e-21
0.20433597	1.16591	5.65353e-21
0.20433597	1.25893	3.34547e-21
0.20433597	1.35936	1.94854e-21
0.20433597	1.4678	1.1156e-21
0.20433597	1.58489	6.27095e-22
0.20433597	1.71133	3.45595e-22
0.20433597	1.84785	1.86465e-22
0.20433597	1.99526	9.83297e-23
0.20433597	2.15443	5.05943e-23
0.20433597	2.32631	2.53606e-23
0.20433597	2.51189	1.23557e-23
0.20433597	2.71227	5.8418e-24
0.20433597	2.92864	2.67644e-24
0.20433597	3.16228	1.18729e-24
0.20433597	3.41455	5.11409e-25
0.20433597	3.68695	2.16146e-25
0.20433597	3.98107	9.23024e-26
0.20433597	4.29866	4.21946e-26
0.20433597	4.64159	2.18061e-26
0.20433597	5.01187	1.26001e-26
0.20433597	5.4117	7.71807e-27
0.20433597	5.84341	4.8276e-27
0.20433597	6.30957	3.03814e-27
0.20433597	6.81292	1.91471e-27
0.20433597	7.35642	1.20722e-27
0.20433597	7.94328	7.61267e-28
0.20433597	8.57696	4.80066e-28
0.20433597	9.26119	3.02751e-28
0.20433597	10.0	1.90929e-28
0.23950266	1.0	1.6627e-20
0.23950266	1.07978	1.01778e-20
0.23950266	1.16591	6.14684e-21
0.23950266	1.25893	3.65888e-21
0.23950266	1.35936	2.14451e-21
0.23950266	1.4678	1.23615e-21
0.23950266	1.58489	6.99929e-22
0.23950266	1.71133	3.88757e-22
0.23950266	1.84785	2.11497e-22
0.23950266	1.99526	1.1254e-22
0.23950266	2.15443	5.8462e-23
0.23950266	2.32631	2.95997e-23
0.23950266	2.51189	1.45786e-23
0.23950266	2.71227	6.97155e-24
0.23950266	2.92864	3.2306e-24
0.23950266	3.16228	1.44858e-24
0.23950266	3.41455	6.28599e-25
0.23950266	3.68695	2.65086e-25
0.23950266	3.98107	1.10297e-25
0.23950266	4.29866	4.71522e-26
0.23950266	4.64159	2.21566e-26
0.23950266	5.01187	1.19119e-26
0.23950266	5.4117	7.06616e-27
0.23950266	5.84341	4.376e-27
0.23950266	6.30957	2.7467e-27
0.23950266	6.81292	1.72965e-27
0.23950266	7.35642	1.09059e-27
0.23950266	7.94328	6.87698e-28
0.23950266	8.57696	4.33628e-28
0.23950266	9.26119	2.7347e-28
0.23950266	10.0	1.72455e-28
0.28072162	1.0	1.79915e-20
0.28072162	1.07978	1.10724e-20
0.28072162	1.16591	6.72548e-21
0.28072162	1.25893	4.02807e-21
0.28072162	1.35936	2.37661e-21
0.28072162	1.4678	1.37969e-21
0.28072162	1.58489	7.87161e-22
0.28072162	1.71133	4.40771e-22
0.28072162	1.84785	2.41905e-22
0.28072162	1.99526	1.29926e-22
0.28072162	2.15443	6.81739e-23
0.28072162	2.32631	3.48927e-23
0.28072162	2.51189	1.7383e-23
0.28072162	2.71227	8.41446e-24
0.28072162	2.92864	3.94907e-24
0.28072162	3.16228	1.79354e-24
0.28072162	3.41455	7.87437e-25
0.28072162	3.68695	3.34357e-25
0.28072162	3.98107	1.38162e-25
0.28072162	4.29866	5.67853e-26
0.28072162	4.64159	2.44669e-26
0.28072162	5.01187	1.18884e-26
0.28072162	5.4117	6.6275e-27
0.28072162	5.84341	4.00869e-27
0.28072162	6.30957	2.49913e-27
0.28072162	6.81292	1.57183e-27
0.28072162	7.35642	9.90583e-28
0.28072162	7.94328	6.24556e-28
0.28072162	8.57696	3.93817e-28
0.28072162	9.26119	2.48344e-28
0.28072162	10.0	1.56609e-28
0.32903446	1.0	1.95898e-20
0.32903446	1.07978	1.21235e-20
0.32903446	1.16591	7.40875e-21
0.32903446	1.25893	4.46597e-21
0.32903446	1.35936	2.65324e-21
0.32903446	1.4678	1.5517e-21
0.32903446	1.58489	8.92399e-22
0.32903446	1.71133	5.03963e-22
0.32903446	1.84785	2.79112e-22
0.32903446	1.99526	1.51391e-22
0.32903446	2.15443	8.02827e-23
0.32903446	2.32631	4.15541e-23
0.32903446	2.51189	2.0954e-23
0.32903446	2.71227	1.02751e-23
0.32903446	2.92864	4.88893e-24
0.32903446	3.16228	2.2521e-24
0.32903446	3.41455	1.00307e-24
0.32903446	3.68695	4.31273e-25
0.32903446	3.98107	1.79262e-25
0.32903446	4.29866	7.26899e-26
0.32903446	4.64159	2.96192e-26
0.32903446	5.01187	1.2947e-26
0.32903446	5.4117	6.51948e-27
0.32903446	5.84341	3.74558e-27
0.32903446	6.30957	2.29617e-27
0.32903446	6.81292	1.43771e-27
0.32903446	7.35642	9.05212e-28
0.32903446	7.94328	5.70612e-28
0.32903446	8.57696	3.59779e-28
0.32903446	9.26119	2.26862e-28
0.32903446	10.0	1.43062e-28
0.38566204	1.0	2.14731e-20
0.38566204	1.07978	1.33675e-20
0.38566204	1.16591	8.22024e-21
0.38566204	1.25893	4.98902e-21
0.38566204	1.35936	2.98548e-21
0.38566204	1.4678	1.75955e-21
0.38566204	1.58489	1.02037e-21
0.38566204	1.71133	5.81414e-22
0.38566204	1.84785	3.25109e-22
0.38566204	1.99526	1.78144e-22
0.38566204	2.15443	9.5517e-23
0.38566204	2.32631	5.00272e-23
0.38566204	2.51189	2.55529e-23
0.38566204	2.71227	1.27011e-23
0.38566204	2.92864	6.13213e-24
0.38566204	3.16228	2.86894e-24
0.38566204	3.41455	1.2985e-24
0.38566204	3.68695	5.67219e-25
0.38566204	3.98107	2.38931e-25
0.38566204	4.29866	9.73097e-26
0.38566204	4.64159	3.8786e-26
0.38566204	5.01187	1.57173e-26
0.38566204	5.4117	7.00176e-27
0.38566204	5.84341	3.64881e-27
0.38566204	6.30957	2.14512e-27
0.38566204	6.81292	1.3271e-27
0.38566204	7.35642	8.33141e-28
