z0[m]	f[Hz]	Noise[Hz^-1/2]
0.38566204	7.94328	5.24856e-28
0.38566204	8.57696	3.30865e-28
0.38566204	9.26119	2.08633e-28
0.38566204	10.0	1.31549e-28
0.45203537	1.0	2.37079e-20
0.45203537	1.07978	1.48498e-20
0.45203537	1.16591	9.19206e-21
0.45203537	1.25893	5.6182e-21
0.45203537	1.35936	3.38743e-21
0.45203537	1.4678	2.01282e-21
0.45203537	1.58489	1.1774e-21
0.45203537	1.71133	6.77151e-22
0.45203537	1.84785	3.82462e-22
0.45203537	1.99526	2.11843e-22
0.45203537	2.15443	1.14901e-22
0.45203537	2.32631	6.09343e-23
0.45203537	2.51189	3.15388e-23
0.45203537	2.71227	1.59023e-23
0.45203537	2.92864	7.79638e-24
0.45203537	3.16228	3.70835e-24
0.45203537	3.41455	1.70757e-24
0.45203537	3.68695	7.59544e-25
0.45203537	3.98107	3.2574e-25
0.45203537	4.29866	1.34561e-25
0.45203537	4.64159	5.37434e-26
0.45203537	5.01187	2.108e-26
0.45203537	5.4117	8.52007e-27
0.45203537	5.84341	3.87422e-27
0.45203537	6.30957	2.07947e-27
0.45203537	6.81292	1.24339e-27
0.45203537	7.35642	7.73734e-28
0.45203537	7.94328	4.86507e-28
0.45203537	8.57696	3.06565e-28
0.45203537	9.26119	1.93287e-28
0.45203537	10.0	1.21871e-28
0.52983169	1.0	2.63792e-20
0.52983169	1.07978	1.663e-20
0.52983169	1.16591	1.03651e-20
0.52983169	1.25893	6.38213e-21
0.52983169	1.35936	3.87851e-21
0.52983169	1.4678	2.3242e-21
0.52983169	1.58489	1.3719e-21
0.52983169	1.71133	7.96772e-22
0.52983169	1.84785	4.54765e-22
0.52983169	1.99526	2.54734e-22
0.52983169	2.15443	1.39839e-22
0.52983169	2.32631	7.51251e-23
0.52983169	2.51189	3.94307e-23
0.52983169	2.71227	2.0181e-23
0.52983169	2.92864	1.00544e-23
0.52983169	3.16228	4.86447e-24
0.52983169	3.41455	2.28128e-24
0.52983169	3.68695	1.03527e-24
0.52983169	3.98107	4.53077e-25
0.52983169	4.29866	1.90927e-25
0.52983169	4.64159	7.74435e-26
0.52983169	5.01187	3.03649e-26
0.52983169	5.4117	1.17321e-26
0.52983169	5.84341	4.73341e-27
0.52983169	6.30957	2.19333e-27
0.52983169	6.81292	1.20477e-27
0.52983169	7.35642	7.29124e-28
0.52983169	7.94328	4.55332e-28
0.52983169	8.57696	2.86522e-28
0.52983169	9.26119	1.80584e-28
0.52983169	10.0	1.13852e-28
0.62101694	1.0	2.96005e-20
0.62101694	1.07978	1.87861e-20
0.62101694	1.16591	1.17939e-20
0.62101694	1.25893	7.31777e-21
0.62101694	1.35936	4.48399e-21
0.62101694	1.4678	2.71087e-21
0.62101694	1.58489	1.61535e-21
0.62101694	1.71133	9.47767e-22
0.62101694	1.84785	5.46861e-22
0.62101694	1.99526	3.09954e-22
0.62101694	2.15443	1.7231e-22
0.62101694	2.32631	9.38296e-23
0.62101694	2.51189	4.99695e-23
0.62101694	2.71227	2.59775e-23
0.62101694	2.92864	1.31625e-23
0.62101694	3.16228	6.48532e-24
0.62101694	3.41455	3.10133e-24
0.62101694	3.68695	1.4365e-24
0.62101694	3.98107	6.42695e-25
0.62101694	4.29866	2.77142e-25
0.62101694	4.64159	1.14928e-25
0.62101694	5.01187	4.583e-26
0.62101694	5.4117	1.76587e-26
0.62101694	5.84341	6.72531e-27
0.62101694	6.30957	2.70326e-27
0.62101694	6.81292	1.27036e-27
0.62101694	7.35642	7.09364e-28
0.62101694	7.94328	4.32427e-28
0.62101694	8.57696	2.70596e-28
0.62101694	9.26119	1.70379e-28
0.62101694	10.0	1.07388e-28
0.72789538	1.0	3.35197e-20
0.72789538	1.07978	2.14228e-20
0.72789538	1.16591	1.35501e-20
0.72789538	1.25893	8.4751e-21
0.72789538	1.35936	5.23817e-21
0.72789538	1.4678	3.19605e-21
0.72789538	1.58489	1.92342e-21
0.72789538	1.71133	1.14055e-21
0.72789538	1.84785	6.65675e-22
0.72789538	1.99526	3.81909e-22
0.72789538	2.15443	2.15122e-22
0.72789538	2.32631	1.18808e-22
0.72789538	2.51189	6.42367e-23
0.72789538	2.71227	3.39466e-23
0.72789538	2.92864	1.75038e-23
0.72789538	3.16228	8.78981e-24
0.72789538	3.41455	4.28961e-24
0.72789538	3.68695	2.03039e-24
0.72789538	3.98107	9.29895e-25
0.72789538	4.29866	4.11039e-25
0.72789538	4.64159	1.74911e-25
0.72789538	5.01187	7.15362e-26
0.72789538	5.4117	2.80918e-26
0.72789538	5.84341	1.06523e-26
0.72789538	6.30957	3.99567e-27
0.72789538	6.81292	1.5935e-27
0.72789538	7.35642	7.52919e-28
0.72789538	7.94328	4.24089e-28
0.72789538	8.57696	2.59537e-28
0.72789538	9.26119	1.62637e-28
0.72789538	10.0	1.02425e-28
0.85316785	1.0	3.83334e-20
0.85316785	1.07978	2.46793e-20
0.85316785	1.16591	1.5732e-20
0.85316785	1.25893	9.92317e-21
0.85316785	1.35936	6.18819e-21
0.85316785	1.4678	3.81207e-21
0.85316785	1.58489	2.31796e-21
0.85316785	1.71133	1.38979e-21
0.85316785	1.84785	8.20759e-22
0.85316785	1.99526	4.76946e-22
0.85316785	2.15443	2.7236e-22
0.85316785	2.32631	1.52641e-22
0.85316785	2.51189	8.38483e-23
0.85316785	2.71227	4.50696e-23
0.85316785	2.92864	2.36678e-23
0.85316785	3.16228	1.21208e-23
0.85316785	3.41455	6.04187e-24
0.85316785	3.68695	2.92555e-24
0.85316785	3.98107	1.37297e-24
0.85316785	4.29866	6.22975e-25
0.85316785	4.64159	2.72625e-25
0.85316785	5.01187	1.14795e-25
0.85316785	5.4117	4.63914e-26
0.85316785	5.84341	1.79807e-26
0.85316785	6.30957	6.72104e-27
0.85316785	6.81292	2.48024e-27
0.85316785	7.35642	9.74588e-28
0.85316785	7.94328	4.57422e-28
0.85316785	8.57696	2.57703e-28
0.85316785	9.26119	1.57923e-28
0.85316785	10.0	9.89987e-29
1.0	1.0	4.43159e-20
1.0	1.07978	2.87495e-20
1.0	1.16591	1.84761e-20
1.0	1.25893	1.17557e-20
1.0	1.35936	7.39955e-21
1.0	1.4678	4.60446e-21
1.0	1.58489	2.82978e-21
1.0	1.71133	1.71624e-21
1.0	1.84785	1.02618e-21
1.0	1.99526	6.0423e-22
1.0	2.15443	3.49993e-22
1.0	2.32631	1.99183e-22
1.0	2.51189	1.11223e-22
1.0	2.71227	6.08501e-23
1.0	2.92864	3.25678e-23
1.0	3.16228	1.70233e-23
1.0	3.41455	8.67458e-24
1.0	3.68695	4.30112e-24
1.0	3.98107	2.07057e-24
1.0	4.29866	9.65592e-25
1.0	4.64159	4.35151e-25
1.0	5.01187	1.89068e-25
1.0	5.4117	7.89558e-26
1.0	5.84341	3.16275e-26
1.0	6.30957	1.2138e-26
1.0	6.81292	4.4797e-27
1.0	7.35642	1.62533e-27
1.0	7.94328	6.23558e-28
1.0	8.57696	2.85931e-28
1.0	9.26119	1.59559e-28
1.0	10.0	9.75749e-29
