x3min[m]	nu[Hz]	Noise[Hz^-1/2]
1.00	4.7863	4.12971e-27
1.00	5.01187	2.8898e-27
1.00	5.24807	2.10686e-27
1.00	5.49541	1.56963e-27
1.00	5.7544	1.1811e-27
1.00	6.0256	8.92426e-28
1.00	6.30957	6.75398e-28
1.00	6.60693	5.11512e-28
1.00	6.91831	3.8749e-28
1.00	7.24436	2.93593e-28
1.00	7.58578	2.22466e-28
1.00	7.94328	1.68576e-28
1.00	8.31764	1.27741e-28
1.00	8.70964	9.67893e-29
5.00	1.0	1.16421e-20
5.00	1.04713	8.57195e-21
5.00	1.09648	6.2768e-21
5.00	1.14815	4.56988e-21
5.00	1.20226	3.30722e-21
5.00	1.25893	2.37878e-21
5.00	1.31826	1.69992e-21
5.00	1.38038	1.20657e-21
5.00	1.44544	8.50411e-22
5.00	1.51356	5.95013e-22
5.00	1.58489	4.13131e-22
5.00	1.65959	2.84586e-22
5.00	1.7378	1.94403e-22
5.00	1.8197	1.3165e-22
5.00	1.90546	8.83542e-23
5.00	1.99526	5.87346e-23
5.00	2.0893	3.86618e-23
5.00	2.18776	2.51885e-23
5.00	2.29087	1.62339e-23
5.00	2.39883	1.03455e-23
5.00	2.51189	6.51572e-24
5.00	2.63027	4.05349e-24
5.00	2.75423	2.4894e-24
5.00	2.88403	1.5084e-24
5.00	3.01995	9.01155e-25
5.00	3.16228	5.30542e-25
5.00	3.31131	3.07564e-25
5.00	3.46737	1.75463e-25
5.00	3.63078	9.84081e-26
5.00	3.80189	5.42486e-26
5.00	3.98107	2.93538e-26
5.00	4.16869	1.55838e-26
5.00	4.36516	8.11254e-27
5.00	4.57088	4.13962e-27
5.00	4.7863	2.07317e-27
5.00	5.01187	1.02222e-27
5.00	5.24807	5.01724e-28
5.00	5.49541	2.51812e-28
5.00	5.7544	1.35777e-28
5.00	6.0256	8.2419e-29
