r0[m]	z0[m]	uref[m/s]	nu[Hz]	Noise[Hz^-1/2]
15	0.10	10	8.31764	3.2837e-28
15	0.10	10	8.70964	2.48958e-28
15	0.10	10	9.12011	1.88522e-28
15	0.10	10	9.54993	1.43288e-28
15	0.10	10	10.0	1.08693e-28
50	0.10	10	1.0	3.66748e-23
50	0.10	10	1.04713	2.81672e-23
50	0.10	10	1.09648	2.15733e-23
50	0.10	10	1.14815	1.64859e-23
50	0.10	10	1.20226	1.25769e-23
50	0.10	10	1.25893	9.57031e-24
50	0.10	10	1.31826	7.29355e-24
50	0.10	10	1.38038	5.54476e-24
50	0.10	10	1.44544	4.21399e-24
50	0.10	10	1.51356	3.19695e-24
50	0.10	10	1.58489	2.42108e-24
50	0.10	10	1.65959	1.82991e-24
50	0.10	10	1.7378	1.37962e-24
50	0.10	10	1.8197	1.03542e-24
50	0.10	10	1.90546	7.778e-25
50	0.10	10	1.99526	5.81445e-25
50	0.10	10	2.0893	4.31594e-25
50	0.10	10	2.18776	3.23242e-25
50	0.10	10	2.29087	2.40485e-25
50	0.10	10	2.39883	1.78481e-25
50	0.10	10	2.51189	1.33172e-25
50	0.10	10	2.63027	9.92513e-26
50	0.10	10	2.75423	7.41274e-26
50	0.10	10	2.88403	5.46728e-26
50	0.10	10	3.01995	3.91094e-26
50	0.10	10	3.16228	3.18051e-26
50	0.10	10	3.31131	2.40928e-26
50	0.10	10	3.46737	1.84042e-26
50	0.10	10	3.63078	1.35572e-26
50	0.10	10	3.80189	1.07148e-26
50	0.10	10	3.98107	8.19209e-27
50	0.10	10	4.16869	5.91362e-27
50	0.10	10	4.36516	4.76295e-27
50	0.10	10	4.57088	3.6225e-27
50	0.10	10	4.7863	2.74798e-27
50	0.10	10	5.01187	2.01202e-27
50	0.10	10	5.24807	1.51828e-27
50	0.10	10	5.49541	1.12582e-27
50	0.10	10	5.7544	9.07028e-28
50	0.10	10	6.0256	6.87175e-28
50	0.10	10	6.30957	5.20903e-28
50	0.10	10	6.60693	3.95352e-28
50	0.10	10	6.91831	1.91889e-28
50	0.10	10	7.24436	2.27283e-28
50	0.10	10	7.58578	1.72465e-28
50	0.10	10	7.94328	1.30848e-28
50	0.10	10	8.31764	9.93783e-29
50	0.10	15	1.0	1.162e-22
50	0.10	15	1.04713	9.21474e-23
50	0.10	15	1.09648	7.28326e-23
50	0.10	15	1.14815	5.73627e-23
50	0.10	15	1.20226	4.50146e-23
50	0.10	15	1.25893	3.51663e-23
50	0.10	15	1.31826	2.7398e-23
50	0.10	15	1.38038	2.12482e-23
50	0.10	15	1.44544	1.64195e-23
50	0.10	15	1.51356	1.26422e-23
50	0.10	15	1.58489	9.70438e-24
50	0.10	15	1.65959	7.42879e-24
50	0.10	15	1.7378	5.67513e-24
50	0.10	15	1.8197	4.3284e-24
50	0.10	15	1.90546	3.29727e-24
50	0.10	15	1.99526	2.50852e-24
50	0.10	15	2.0893	1.90696e-24
50	0.10	15	2.18776	1.449e-24
50	0.10	15	2.29087	1.09884e-24
50	0.10	15	2.39883	8.28576e-25
50	0.10	15	2.51189	6.28539e-25
50	0.10	15	2.63027	4.72986e-25
50	0.10	15	2.75423	3.53094e-25
50	0.10	15	2.88403	2.55001e-25
50	0.10	15	3.01995	1.98702e-25
50	0.10	15	3.16228	1.48665e-25
50	0.10	15	3.31131	1.02519e-25
50	0.10	15	3.46737	8.22727e-26
50	0.10	15	3.63078	5.74052e-26
50	0.10	15	3.80189	4.55747e-26
50	0.10	15	3.98107	3.40338e-26
50	0.10	15	4.16869	2.23915e-26
50	0.10	15	4.36516	1.91354e-26
50	0.10	15	4.57088	1.44381e-26
50	0.10	15	4.7863	1.0773e-26
50	0.10	15	5.01187	8.19409e-27
50	0.10	15	5.24807	6.06856e-27
50	0.10	15	5.49541	4.83322e-27
50	0.10	15	5.7544	3.68954e-27
50	0.10	15	6.0256	2.33168e-27
50	0.10	15	6.30957	2.14681e-27
50	0.10	15	6.60693	1.63657e-27
50	0.10	15	6.91831	1.23182e-27
50	0.10	15	7.24436	8.33531e-28
50	0.10	15	7.58578	7.17057e-28
50	0.10	15	7.94328	5.43292e-28
50	0.10	15	8.31764	4.11602e-28
50	0.10	15	8.70964	3.10017e-28
50	0.10	15	9.12011	1.12019e-28
50	0.10	15	9.54993	1.77874e-28
50	0.10	15	10.0	1.35771e-28
50	0.10	20	1.0	2.27822e-22
50	0.10	20	1.04713	1.83174e-22
50	0.10	20	1.09648	1.47083e-22
50	0.10	20	1.14815	1.17894e-22
50	0.10	20	1.20226	9.43189e-23
50	0.10	20	1.25893	7.52424e-23
50	0.10	20	1.31826	5.99139e-23
50	0.10	20	1.38038	4.75456e-23
50	0.10	20	1.44544	3.76142e-23
50	0.10	20	1.51356	2.96511e-23
50	0.10	20	1.58489	2.329e-23
50	0.10	20	1.65959	1.82227e-23
50	0.10	20	1.7378	1.42022e-23
50	0.10	20	1.8197	1.10259e-23
50	0.10	20	1.90546	8.52707e-24
50	0.10	20	1.99526	6.56713e-24
50	0.10	20	2.0893	5.04699e-24
50	0.10	20	2.18776	3.86656e-24
50	0.10	20	2.29087	2.95326e-24
50	0.10	20	2.39883	2.25336e-24
50	0.10	20	2.51189	1.7178e-24
50	0.10	20	2.63027	1.30702e-24
50	0.10	20	2.75423	9.86106e-25
50	0.10	20	2.88403	7.54943e-25
50	0.10	20	3.01995	5.64266e-25
50	0.10	20	3.16228	4.33703e-25
50	0.10	20	3.31131	3.19071e-25
50	0.10	20	3.46737	2.46114e-25
50	0.10	20	3.63078	1.86072e-25
50	0.10	20	3.80189	1.38409e-25
50	0.10	20	3.98107	1.04031e-25
50	0.10	20	4.16869	7.31782e-26
50	0.10	20	4.36516	5.34808e-26
50	0.10	20	4.57088	4.31603e-26
50	0.10	20	4.7863	3.06093e-26
50	0.10	20	5.01187	2.14903e-26
50	0.10	20	5.24807	1.28108e-26
50	0.10	20	5.49541	1.33206e-26
50	0.10	20	5.7544	9.86584e-27
50	0.10	20	6.0256	7.52767e-27
50	0.10	20	6.30957	5.62172e-27
50	0.10	20	6.60693	4.33115e-27
50	0.10	20	6.91831	3.2848e-27
50	0.10	20	7.24436	2.51346e-27
50	0.10	20	7.58578	1.92339e-27
50	0.10	20	7.94328	1.46305e-27
50	0.10	20	8.31764	1.12083e-27
50	0.10	20	8.70964	8.46938e-28
50	0.10	20	9.12011	2.11405e-28
50	0.10	20	9.54993	4.88535e-28
50	0.10	20	10.0	3.73152e-28
50	0.10	25	1.0	3.98645e-22
50	0.10	25	1.04713	3.10544e-22
50	0.10	25	1.09648	2.457e-22
50	0.10	25	1.14815	1.96096e-22
50	0.10	25	1.20226	1.57239e-22
50	0.10	25	1.25893	1.26232e-22
50	0.10	25	1.31826	1.01438e-22
50	0.10	25	1.38038	8.13987e-23
50	0.10	25	1.44544	6.52229e-23
50	0.10	25	1.51356	5.21501e-23
50	0.10	25	1.58489	4.16041e-23
50	0.10	25	1.65959	3.31001e-23
50	0.10	25	1.7378	2.62558e-23
50	0.10	25	1.8197	2.07594e-23
50	0.10	25	1.90546	1.6356e-23
50	0.10	25	1.99526	1.28344e-23
50	0.10	25	2.0893	1.00391e-23
50	0.10	25	2.18776	7.81992e-24
50	0.10	25	2.29087	6.0644e-24
50	0.10	25	2.39883	4.68864e-24
50	0.10	25	2.51189	3.61196e-24
50	0.10	25	2.63027	2.77297e-24
50	0.10	25	2.75423	2.11906e-24
50	0.10	25	2.88403	1.62235e-24
50	0.10	25	3.01995	1.23191e-24
50	0.10	25	3.16228	9.42785e-25
50	0.10	25	3.31131	7.14556e-25
50	0.10	25	3.46737	5.44363e-25
50	0.10	25	3.63078	4.14497e-25
50	0.10	25	3.80189	3.12177e-25
50	0.10	25	3.98107	2.38075e-25
50	0.10	25	4.16869	1.65286e-25
50	0.10	25	4.36516	1.35127e-25
50	0.10	25	4.57088	1.01915e-25
50	0.10	25	4.7863	7.2189e-26
50	0.10	25	5.01187	4.52719e-26
50	0.10	25	5.24807	3.84747e-26
50	0.10	25	5.49541	3.17028e-26
50	0.10	25	5.7544	2.27067e-26
50	0.10	25	6.0256	1.75241e-26
50	0.10	25	6.30957	1.30645e-26
50	0.10	25	6.60693	9.75265e-27
50	0.10	25	6.91831	6.90488e-27
50	0.10	25	7.24436	5.4639e-27
50	0.10	25	7.58578	4.11968e-27
50	0.10	25	7.94328	3.12741e-27
50	0.10	25	8.31764	2.37687e-27
50	0.10	25	8.70964	1.73805e-27
50	0.10	25	9.12011	2.15685e-28
50	0.10	25	9.54993	9.13144e-28
50	0.10	25	10.0	8.03384e-28
50	0.10	30	1.0	1.06257e-21
50	0.10	30	1.04713	7.18162e-22
50	0.10	30	1.09648	4.97948e-22
50	0.10	30	1.14815	3.56459e-22
50	0.10	30	1.20226	2.64098e-22
50	0.10	30	1.25893	2.0138e-22
50	0.10	30	1.31826	1.57221e-22
50	0.10	30	1.38038	1.2443e-22
50	0.10	30	1.44544	9.92964e-23
50	0.10	30	1.51356	7.95387e-23
50	0.10	30	1.58489	6.38075e-23
50	0.10	30	1.65959	5.1167e-23
50	0.10	30	1.7378	4.09815e-23
50	0.10	30	1.8197	3.27629e-23
50	0.10	30	1.90546	2.61305e-23
50	0.10	30	1.99526	2.07816e-23
50	0.10	30	2.0893	1.64858e-23
50	0.10	30	2.18776	1.3033e-23
50	0.10	30	2.29087	1.02632e-23
50	0.10	30	2.39883	8.05705e-24
50	0.10	30	2.51189	6.30009e-24
50	0.10	30	2.63027	4.90622e-24
50	0.10	30	2.75423	3.80193e-24
50	0.10	30	2.88403	2.9413e-24
50	0.10	30	3.01995	2.2609e-24
50	0.10	30	3.16228	1.73903e-24
50	0.10	30	3.31131	1.32952e-24
50	0.10	30	3.46737	1.01651e-24
50	0.10	30	3.63078	7.75952e-25
50	0.10	30	3.80189	5.90164e-25
50	0.10	30	3.98107	4.4987e-25
50	0.10	30	4.16869	3.36353e-25
50	0.10	30	4.36516	2.5671e-25
50	0.10	30	4.57088	1.96997e-25
50	0.10	30	4.7863	1.48756e-25
50	0.10	30	5.01187	1.0961e-25
50	0.10	30	5.24807	6.91147e-26
50	0.10	30	5.49541	6.37615e-26
50	0.10	30	5.7544	4.68482e-26
50	0.10	30	6.0256	3.56896e-26
50	0.10	30	6.30957	2.66834e-26
50	0.10	30	6.60693	1.98702e-26
50	0.10	30	6.91831	1.43559e-26
50	0.10	30	7.24436	1.09701e-26
50	0.10	30	7.58578	8.18611e-27
50	0.10	30	7.94328	6.10835e-27
50	0.10	30	8.31764	4.57133e-27
50	0.10	30	8.70964	3.35586e-27
50	0.10	30	9.12011	1.97852e-28
50	0.10	30	9.54993	1.11672e-27
50	0.10	30	10.0	1.48361e-27
100	0.10	30	1.0	2.66502e-22
100	0.10	30	1.04713	2.15937e-22
100	0.10	30	1.09648	1.7515e-22
100	0.10	30	1.14815	1.41892e-22
100	0.10	30	1.20226	1.14909e-22
100	0.10	30	1.25893	9.29541e-23
100	0.10	30	1.31826	7.51812e-23
100	0.10	30	1.38038	6.07299e-23
100	0.10	30	1.44544	4.90067e-23
100	0.10	30	1.51356	3.9488e-23
100	0.10	30	1.58489	3.17758e-23
100	0.10	30	1.65959	2.55228e-23
100	0.10	30	1.7378	2.04601e-23
100	0.10	30	1.8197	1.63666e-23
100	0.10	30	1.90546	1.30583e-23
100	0.10	30	1.99526	1.0387e-23
100	0.10	30	2.0893	8.24121e-24
100	0.10	30	2.18776	6.50267e-24
100	0.10	30	2.29087	5.12767e-24
100	0.10	30	2.39883	4.02932e-24
100	0.10	30	2.51189	3.15151e-24
100	0.10	30	2.63027	2.45465e-24
100	0.10	30	2.75423	1.90097e-24
100	0.10	30	2.88403	1.47163e-24
100	0.10	30	3.01995	1.12999e-24
100	0.10	30	3.16228	8.6987e-25
100	0.10	30	3.31131	6.65403e-25
100	0.10	30	3.46737	4.96218e-25
100	0.10	30	3.63078	3.884e-25
100	0.10	30	3.80189	2.94036e-25
100	0.10	30	3.98107	2.25207e-25
100	0.10	30	4.16869	1.69885e-25
100	0.10	30	4.36516	4.92502e-26
100	0.10	30	4.57088	9.83584e-26
100	0.10	30	4.7863	7.28674e-26
100	0.10	30	5.01187	4.04799e-26
100	0.10	30	5.24807	8.8461e-27
100	0.10	30	5.49541	3.19125e-26
100	0.10	30	5.7544	2.04834e-26
100	0.10	30	6.0256	1.57822e-26
100	0.10	30	6.30957	1.28429e-26
100	0.10	30	6.60693	9.90366e-27
100	0.10	30	6.91831	7.17017e-28
100	0.10	30	7.24436	5.50193e-27
100	0.10	30	7.58578	4.10048e-27
100	0.10	30	7.94328	3.05908e-27
100	0.10	30	8.31764	2.28668e-27
100	0.10	30	8.70964	1.25639e-27
100	0.10	30	9.12011	3.18406e-29
200	0.10	30	1.0	1.32998e-22
200	0.10	30	1.04713	1.07154e-22
200	0.10	30	1.09648	8.74745e-23
200	0.10	30	1.14815	7.08561e-23
200	0.10	30	1.20226	5.73729e-23
200	0.10	30	1.25893	4.64451e-23
200	0.10	30	1.31826	3.75799e-23
200	0.10	30	1.38038	3.03635e-23
200	0.10	30	1.44544	2.44502e-23
200	0.10	30	1.51356	1.97359e-23
200	0.10	30	1.58489	1.58918e-23
200	0.10	30	1.65959	1.27359e-23
200	0.10	30	1.7378	1.02302e-23
200	0.10	30	1.8197	8.18094e-24
200	0.10	30	1.90546	6.53093e-24
200	0.10	30	1.99526	5.19338e-24
200	0.10	30	2.0893	4.12099e-24
200	0.10	30	2.18776	3.21532e-24
200	0.10	30	2.29087	2.56042e-24
200	0.10	30	2.39883	2.00848e-24
200	0.10	30	2.51189	1.57678e-24
200	0.10	30	2.63027	1.22816e-24
200	0.10	30	2.75423	9.51444e-25
200	0.10	30	2.88403	7.36045e-25
200	0.10	30	3.01995	5.65636e-25
200	0.10	30	3.16228	4.33906e-25
200	0.10	30	3.31131	3.32269e-25
200	0.10	30	3.46737	1.9611e-25
200	0.10	30	3.63078	1.93675e-25
200	0.10	30	3.80189	1.43687e-25
200	0.10	30	3.98107	1.12678e-25
200	0.10	30	4.16869	8.51283e-26
200	0.10	30	4.36516	4.11635e-27
200	0.10	30	4.57088	3.99243e-26
200	0.10	30	4.7863	3.63666e-26
200	0.10	30	5.01187	2.04332e-26
200	0.10	30	5.24807	5.96629e-27
200	0.10	30	5.49541	1.58826e-26
200	0.10	30	5.7544	6.35923e-27
200	0.10	30	6.0256	1.57069e-27
200	0.10	30	6.30957	1.64349e-28
200	0.10	30	6.60693	8.17271e-28
