U[m/s]	psi[rad]	Noise[Hz^-1/2]
20	2.43634	1.1878e-21
20	2.50045	1.24098e-21
20	2.56457	1.29007e-21
20	2.62868	1.33488e-21
20	2.69279	1.37502e-21
20	2.75691	1.41018e-21
20	2.82102	1.44031e-21
20	2.88514	1.46511e-21
20	2.94925	1.48461e-21
20	3.01336	1.49876e-21
20	3.07748	1.50709e-21
20	3.14159	1.51001e-21
30	0.0641141	7.70498e-21
30	0.128228	7.66424e-21
30	0.192342	7.59418e-21
30	0.256457	7.49748e-21
30	0.320571	7.37384e-21
30	0.384685	7.22388e-21
30	0.448799	7.0494e-21
30	0.512913	6.84985e-21
30	0.577027	6.62805e-21
30	0.641141	6.38339e-21
30	0.705255	6.12087e-21
30	0.76937	5.84031e-21
30	0.833484	5.54506e-21
30	0.897598	5.23703e-21
30	0.961712	4.91673e-21
30	1.02583	4.59338e-21
30	1.08994	4.26753e-21
30	1.15405	3.94587e-21
30	1.21817	3.6366e-21
30	1.28228	3.34712e-21
30	1.3464	3.0903e-21
30	1.41051	2.87839e-21
30	1.47463	2.72561e-21
30	1.53874	2.64499e-21
30	1.60285	2.64528e-21
30	1.66697	2.72618e-21
30	1.73108	2.87861e-21
30	1.7952	3.09056e-21
30	1.85931	3.34837e-21
30	1.92342	3.63665e-21
30	1.98754	3.94644e-21
30	2.05165	4.26707e-21
30	2.11577	4.59293e-21
30	2.17988	4.91695e-21
30	2.24399	5.23624e-21
30	2.30811	5.54502e-21
30	2.37222	5.84179e-21
30	2.43634	6.12235e-21
30	2.50045	6.38493e-21
30	2.56457	6.62785e-21
30	2.62868	6.85041e-21
30	2.69279	7.0487e-21
30	2.75691	7.22453e-21
30	2.82102	7.37433e-21
30	2.88514	7.49739e-21
30	2.94925	7.59644e-21
30	3.01336	7.6651e-21
30	3.07748	7.70632e-21
30	3.14159	7.72044e-21
