U[m/s]	f[Hz]	Noise[Hz^-1/2]
0.1	3.16228	1.03182e-23
0.1	3.4807	3.83757e-24
0.1	3.83119	1.34251e-24
0.1	4.21697	4.38957e-25
0.1	4.64159	1.33313e-25
0.1	5.10897	3.73161e-26
0.1	5.62341	9.55007e-27
0.1	6.18966	2.21492e-27
0.1	6.81292	4.60993e-28
0.1	7.49894	8.545e-29
0.1	8.25404	1.39961e-29
0.1	9.08518	2.03778e-30
0.1	10.0	2.71358e-31
0.1	1.0	7.3289e-20
0.1	1.10069	4.19094e-20
0.1	1.21153	2.35233e-20
0.1	1.33352	1.29329e-20
0.1	1.4678	6.95305e-21
0.1	1.6156	3.64601e-21
0.1	1.77828	1.8605e-21
0.1	1.95734	9.21469e-22
0.1	2.15443	4.41619e-22
0.1	2.37137	2.04117e-22
0.1	2.61016	9.06795e-23
0.1	2.87298	3.85651e-23
0.1	3.16228	1.56346e-23
0.1	3.4807	6.01177e-24
0.1	3.83119	2.18173e-24
0.1	4.21697	7.42871e-25
0.1	4.64159	2.35864e-25
0.1	5.10897	6.93364e-26
0.1	5.62341	1.87246e-26
0.1	6.18966	4.60671e-27
0.1	6.81292	1.023e-27
0.1	7.49894	2.03015e-28
0.1	8.25404	3.56471e-29
0.1	9.08518	5.48267e-30
0.1	10.0	7.33509e-31
0.1	1.0	8.69256e-20
0.1	1.10069	5.01891e-20
0.1	1.21153	2.84737e-20
0.1	1.33352	1.58406e-20
0.1	1.4678	8.62605e-21
0.1	1.6156	4.58761e-21
0.1	1.77828	2.37757e-21
0.1	1.95734	1.19783e-21
0.1	2.15443	5.84924e-22
0.1	2.37137	2.75994e-22
0.1	2.61016	1.25414e-22
0.1	2.87298	5.46799e-23
0.1	3.16228	2.27818e-23
0.1	3.4807	9.02696e-24
0.1	3.83119	3.38565e-24
0.1	4.21697	1.19547e-24
0.1	4.64159	3.95037e-25
0.1	5.10897	1.21314e-25
0.1	5.62341	3.43772e-26
0.1	6.18966	8.91907e-27
0.1	6.81292	2.09975e-27
0.1	7.49894	4.44134e-28
0.1	8.25404	8.35471e-29
0.1	9.08518	1.38169e-29
0.1	10.0	1.98588e-30
0.1	1.0	1.01721e-19
0.1	1.10069	5.9255e-20
0.1	1.21153	3.39401e-20
0.1	1.33352	1.90852e-20
0.1	1.4678	1.05132e-20
0.1	1.6156	5.66336e-21
0.1	1.77828	2.97632e-21
0.1	1.95734	1.52282e-21
0.1	2.15443	7.56284e-22
0.1	2.37137	3.63568e-22
0.1	2.61016	1.68611e-22
0.1	2.87298	7.51734e-23
0.1	3.16228	3.20975e-23
0.1	3.4807	1.30692e-23
0.1	3.83119	5.05074e-24
0.1	4.21697	1.84245e-24
0.1	4.64159	6.31064e-25
0.1	5.10897	2.01647e-25
0.1	5.62341	5.96838e-26
0.1	6.18966	1.62417e-26
0.1	6.81292	4.02955e-27
0.1	7.49894	9.03173e-28
0.1	8.25404	1.81002e-28
0.1	9.08518	3.20773e-29
0.1	10.0	4.96629e-30
0.1	1.0	5.34495e-24
0.1	1.10069	2.9547e-24
0.1	1.21153	1.63919e-24
0.1	1.33352	9.11769e-25
0.1	1.4678	5.08195e-25
0.1	1.6156	2.83683e-25
0.1	1.77828	1.5854e-25
0.1	1.95734	8.86581e-26
0.1	2.15443	4.95827e-26
0.1	2.37137	2.77127e-26
0.1	2.61016	1.54601e-26
0.1	2.87298	8.59047e-27
0.1	3.16228	4.74236e-27
0.1	3.4807	2.5898e-27
0.1	3.83119	1.39052e-27
0.1	4.21697	7.28582e-28
0.1	4.64159	3.68891e-28
0.1	5.10897	1.78239e-28
0.1	5.62341	8.09572e-29
0.1	6.18966	3.39654e-29
0.1	6.81292	1.28864e-29
0.1	7.49894	4.3121e-30
0.1	8.25404	1.2351e-30
0.1	9.08518	2.92225e-31
0.1	10.0	5.47267e-32
0.1	1.0	1.1767e-19
0.1	1.10069	6.90982e-20
0.1	1.21153	3.99215e-20
0.1	1.33352	2.26623e-20
0.1	1.4678	1.26179e-20
0.1	1.6156	6.87588e-21
0.1	1.77828	3.66028e-21
0.1	1.95734	1.89876e-21
0.1	2.15443	9.57659e-22
0.1	2.37137	4.68166e-22
0.1	2.61016	2.21167e-22
0.1	2.87298	1.00636e-22
0.1	3.16228	4.39437e-23
0.1	3.4807	1.83364e-23
0.1	3.83119	7.27934e-24
0.1	4.21697	2.7357e-24
0.1	4.64159	9.67869e-25
0.1	5.10897	3.20594e-25
