r0[m]	epsilon[m^2/s^3]	U[m/s]	f[Hz]	Noise[Hz^-1/2]
5	1.00	15	2.32995	1.5302e-22
5	1.00	15	2.44205	1.00747e-22
5	1.00	15	2.55955	6.55995e-23
5	1.00	15	2.6827	4.22164e-23
5	1.00	15	2.81177	2.6841e-23
5	1.00	15	2.94705	1.6848e-23
5	1.00	15	3.08884	1.04351e-23
5	1.00	15	3.23746	6.37338e-24
5	1.00	15	3.39322	3.83611e-24
5	1.00	15	3.55648	2.27417e-24
5	1.00	15	3.72759	1.32675e-24
5	1.00	15	3.90694	7.61321e-25
5	1.00	15	4.09492	4.29484e-25
5	1.00	15	4.29193	2.3807e-25
5	1.00	15	4.49843	1.29682e-25
5	1.00	15	4.71487	6.94882e-26
5	1.00	15	4.94171	3.6747e-26
5	1.00	15	5.17947	1.93289e-26
5	1.00	15	5.42868	1.02825e-26
5	1.00	15	5.68987	5.69697e-27
5	1.00	15	5.96362	3.39562e-27
5	1.00	15	6.25055	2.20481e-27
5	1.00	15	6.55129	1.52939e-27
5	1.00	15	6.86649	1.10031e-27
5	1.00	15	7.19686	8.04018e-28
5	1.00	15	7.54312	5.90064e-28
5	1.00	15	7.90604	4.32837e-28
5	1.00	15	8.28643	3.16505e-28
5	1.00	15	8.68511	2.30361e-28
5	1.00	15	9.10298	1.66648e-28
5	1.00	15	9.54095	1.19669e-28
5	1.00	15	10.0	8.5169e-29
5	1.00	20	1.04811	1.29669e-19
5	1.00	20	1.09854	9.96411e-20
5	1.00	20	1.1514	7.62671e-20
5	1.00	20	1.20679	5.81396e-20
5	1.00	20	1.26486	4.41297e-20
5	1.00	20	1.32571	3.33501e-20
5	1.00	20	1.3895	2.50843e-20
5	1.00	20	1.45635	1.87754e-20
5	1.00	20	1.52642	1.3981e-20
5	1.00	20	1.59986	1.03555e-20
5	1.00	20	1.67683	7.62733e-21
5	1.00	20	1.75751	5.58493e-21
5	1.00	20	1.84207	4.06454e-21
5	1.00	20	1.9307	2.93894e-21
5	1.00	20	2.02359	2.11077e-21
5	1.00	20	2.12095	1.50532e-21
5	1.00	20	2.223	1.06559e-21
5	1.00	20	2.32995	7.48553e-22
5	1.00	20	2.44205	5.21566e-22
5	1.00	20	2.55955	3.60351e-22
5	1.00	20	2.6827	2.46748e-22
5	1.00	20	2.81177	1.67404e-22
5	1.00	20	2.94705	1.12472e-22
5	1.00	20	3.08884	7.47965e-23
5	1.00	20	3.23746	4.92147e-23
5	1.00	20	3.39322	3.20235e-23
5	1.00	20	3.55648	2.0593e-23
5	1.00	20	3.72759	1.30815e-23
5	1.00	20	3.90694	8.20312e-24
5	1.00	20	4.09492	5.07563e-24
5	1.00	20	4.29193	3.09627e-24
5	1.00	20	4.49843	1.86122e-24
5	1.00	20	4.71487	1.1017e-24
5	1.00	20	4.94171	6.41654e-25
5	1.00	20	5.17947	3.67417e-25
5	1.00	20	5.42868	2.06673e-25
5	1.00	20	5.68987	1.14147e-25
5	1.00	20	5.96362	6.18397e-26
5	1.00	20	6.25055	3.28458e-26
5	1.00	20	6.55129	1.70992e-26
5	1.00	20	6.86649	8.72724e-27
5	1.00	20	7.19686	4.37742e-27
5	1.00	20	7.54312	2.17306e-27
5	1.00	20	7.90604	1.08604e-27
5	1.00	20	8.28643	5.64736e-28
5	1.00	20	8.68511	3.18709e-28
5	1.00	20	9.10298	1.98415e-28
5	1.00	20	9.54095	1.32792e-28
5	1.00	20	10.0	9.18538e-29
5	1.00	25	1.04811	2.44678e-19
5	1.00	25	1.09854	1.91043e-19
5	1.00	25	1.1514	1.48709e-19
5	1.00	25	1.20679	1.15383e-19
5	1.00	25	1.26486	8.92082e-20
5	1.00	25	1.32571	6.87294e-20
5	1.00	25	1.3895	5.27504e-20
5	1.00	25	1.45635	4.03264e-20
5	1.00	25	1.52642	3.06977e-20
5	1.00	25	1.59986	2.32709e-20
5	1.00	25	1.67683	1.75593e-20
5	1.00	25	1.75751	1.31881e-20
5	1.00	25	1.84207	9.85608e-21
5	1.00	25	1.9307	7.32667e-21
5	1.00	25	2.02359	5.41738e-21
5	1.00	25	2.12095	3.98274e-21
5	1.00	25	2.223	2.91074e-21
5	1.00	25	2.32995	2.11391e-21
5	1.00	25	2.44205	1.52522e-21
5	1.00	25	2.55955	1.09293e-21
5	1.00	25	2.6827	7.77637e-22
5	1.00	25	2.81177	5.49129e-22
5	1.00	25	2.94705	3.84721e-22
5	1.00	25	3.08884	2.67329e-22
5	1.00	25	3.23746	1.84148e-22
5	1.00	25	3.39322	1.25725e-22
5	1.00	25	3.55648	8.5029e-23
5	1.00	25	3.72759	5.69341e-23
5	1.00	25	3.90694	3.77293e-23
5	1.00	25	4.09492	2.47335e-23
5	1.00	25	4.29193	1.60317e-23
5	1.00	25	4.49843	1.02666e-23
5	1.00	25	4.71487	6.49415e-24
5	1.00	25	4.94171	4.05393e-24
5	1.00	25	5.17947	2.4963e-24
5	1.00	25	5.42868	1.5153e-24
5	1.00	25	5.68987	9.06068e-25
5	1.00	25	5.96362	5.33381e-25
5	1.00	25	6.25055	3.08841e-25
5	1.00	25	6.55129	1.75756e-25
5	1.00	25	6.86649	9.82263e-26
5	1.00	25	7.19686	5.38693e-26
5	1.00	25	7.54312	2.89674e-26
5	1.00	25	7.90604	1.52523e-26
5	1.00	25	8.28643	7.86104e-27
5	1.00	25	8.68511	3.96563e-27
5	1.00	25	9.10298	1.95521e-27
5	1.00	25	9.54095	9.43041e-28
5	1.00	25	10.0	4.4684e-28
5	1.00	30	1.04811	3.91983e-19
5	1.00	30	1.09854	3.09432e-19
5	1.00	30	1.1514	2.43629e-19
5	1.00	30	1.20679	1.91281e-19
5	1.00	30	1.26486	1.49733e-19
5	1.00	30	1.32571	1.16871e-19
5	1.00	30	1.3895	9.09334e-20
5	1.00	30	1.45635	7.05176e-20
5	1.00	30	1.52642	5.44921e-20
5	1.00	30	1.59986	4.19611e-20
5	1.00	30	1.67683	3.21868e-20
5	1.00	30	1.75751	2.45871e-20
5	1.00	30	1.84207	1.87084e-20
5	1.00	30	1.9307	1.41714e-20
5	1.00	30	2.02359	1.06863e-20
5	1.00	30	2.12095	8.0193e-21
5	1.00	30	2.223	5.98812e-21
5	1.00	30	2.32995	4.448e-21
5	1.00	30	2.44205	3.28582e-21
5	1.00	30	2.55955	2.41332e-21
5	1.00	30	2.6827	1.76209e-21
5	1.00	30	2.81177	1.27851e-21
5	1.00	30	2.94705	9.21497e-22
5	1.00	30	3.08884	6.59542e-22
5	1.00	30	3.23746	4.68716e-22
5	1.00	30	3.39322	3.30588e-22
5	1.00	30	3.55648	2.31295e-22
5	1.00	30	3.72759	1.60503e-22
5	1.00	30	3.90694	1.10404e-22
5	1.00	30	4.09492	7.52584e-23
5	1.00	30	4.29193	5.08133e-23
5	1.00	30	4.49843	3.39688e-23
5	1.00	30	4.71487	2.24704e-23
5	1.00	30	4.94171	1.47045e-23
5	1.00	30	5.17947	9.51121e-24
5	1.00	30	5.42868	6.07932e-24
5	1.00	30	5.68987	3.83679e-24
5	1.00	30	5.96362	2.38965e-24
5	1.00	30	6.25055	1.46798e-24
5	1.00	30	6.55129	8.88869e-25
5	1.00	30	6.86649	5.30119e-25
5	1.00	30	7.19686	3.11188e-25
5	1.00	30	7.54312	1.79654e-25
5	1.00	30	7.90604	1.01925e-25
5	1.00	30	8.28643	5.67868e-26
5	1.00	30	8.68511	3.10352e-26
5	1.00	30	9.10298	1.66265e-26
5	1.00	30	9.54095	8.72193e-27
5	1.00	30	10.0	4.47571e-27
