Energy loss[m^2/s^3]	U[m/s]	r0[m]	Noise[Hz^-1/2]
1.00	25	2.6066	2.05682e-20
1.00	25	2.82324	1.83345e-20
1.00	25	3.05788	1.6192e-20
1.00	25	3.31202	1.41576e-20
1.00	25	3.58728	1.22461e-20
1.00	25	3.88543	1.04689e-20
1.00	25	4.20835	8.83784e-21
1.00	25	4.5581	7.35998e-21
1.00	25	4.93693	6.03974e-21
1.00	25	5.34724	4.87794e-21
1.00	25	5.79166	3.87249e-21
1.00	25	6.27301	3.01805e-21
1.00	25	6.79436	2.30559e-21
1.00	25	7.35904	1.72361e-21
1.00	25	7.97066	1.25882e-21
1.00	25	8.63311	8.96571e-22
1.00	25	9.35061	6.21407e-22
1.00	25	10.1277	4.18256e-22
1.00	25	10.9695	2.7273e-22
1.00	25	11.8812	1.71868e-22
1.00	25	12.8686	1.04383e-22
1.00	25	13.9381	6.09322e-23
1.00	25	15.0965	3.40737e-23
1.00	25	16.3512	1.82024e-23
1.00	25	17.7102	9.26057e-24
1.00	25	19.1821	4.48407e-24
1.00	25	20.7763	2.08268e-24
1.00	25	22.5031	9.70702e-25
1.00	25	24.3733	5.24919e-25
1.00	25	26.399	3.7773e-25
1.00	25	28.593	3.23851e-25
1.00	25	30.9694	2.91244e-25
1.00	25	33.5433	2.64686e-25
1.00	25	36.3311	2.41382e-25
1.00	25	39.3506	2.20622e-25
1.00	25	42.6211	2.01995e-25
1.00	25	46.1633	1.85167e-25
1.00	25	50.0	1.6994e-25
1.00	30	1.08311	6.54285e-20
1.00	30	1.17313	6.28106e-20
1.00	30	1.27063	6.00928e-20
1.00	30	1.37623	5.72904e-20
1.00	30	1.49061	5.44046e-20
1.00	30	1.6145	5.14478e-20
1.00	30	1.74868	4.84338e-20
1.00	30	1.89401	4.53707e-20
1.00	30	2.05143	4.22724e-20
1.00	30	2.22192	3.91659e-20
1.00	30	2.40659	3.60643e-20
1.00	30	2.6066	3.29851e-20
1.00	30	2.82324	2.9953e-20
1.00	30	3.05788	2.69883e-20
1.00	30	3.31202	2.41128e-20
1.00	30	3.58728	2.13478e-20
1.00	30	3.88543	1.87159e-20
1.00	30	4.20835	1.62342e-20
1.00	30	4.5581	1.3922e-20
1.00	30	4.93693	1.17914e-20
1.00	30	5.34724	9.85463e-21
1.00	30	5.79166	8.11797e-21
1.00	30	6.27301	6.58347e-21
1.00	30	6.79436	5.24998e-21
1.00	30	7.35904	4.11071e-21
1.00	30	7.97066	3.15638e-21
1.00	30	8.63311	2.37248e-21
1.00	30	9.35061	1.74272e-21
1.00	30	10.1277	1.24878e-21
1.00	30	10.9695	8.71286e-22
1.00	30	11.8812	5.90536e-22
1.00	30	12.8686	3.87933e-22
1.00	30	13.9381	2.4641e-22
1.00	30	15.0965	1.50919e-22
1.00	30	16.3512	8.8874e-23
1.00	30	17.7102	5.01669e-23
1.00	30	19.1821	2.7051e-23
1.00	30	20.7763	1.38888e-23
1.00	30	22.5031	6.77089e-24
1.00	30	24.3733	3.13274e-24
1.00	30	26.399	1.39367e-24
1.00	30	28.593	6.39611e-25
1.00	30	30.9694	3.6682e-25
1.00	30	33.5433	2.84051e-25
1.00	30	36.3311	2.50189e-25
1.00	30	39.3506	2.26594e-25
1.00	30	42.6211	2.06444e-25
1.00	30	46.1633	1.88584e-25
1.00	30	50.0	1.72566e-25
